id_venta;id_tiempo;id_cliente;id_producto;id_sucursal;id_empleado;id_pago;id_promocion;cantidad;subtotal;total
127;271;12209;699;66;3694;127;;3;125.55;125.55
128;119;1651;5335;56;9501;128;11200;4;35.16;31.64
129;1794;5981;1327;2;8000;129;4672;8;1109.36;998.42
130;924;12448;13038;31;9106;130;11534;9;670.86;603.77
131;1050;1974;12613;31;12357;131;11237;8;179.36;161.42
132;401;3770;4039;52;9228;132;14646;4;112.56;101.3
133;745;13892;9327;26;5090;133;;7;349.79;349.79
134;473;11169;425;20;558;134;6950;10;774.5;697.05
135;255;7146;13427;57;7214;135;12609;4;503.24;452.92
136;867;6188;1690;1;3523;136;10230;1;199.87;179.88
137;1370;11401;56;47;12223;137;;10;1976.9;1976.9
138;1137;6735;6393;63;150;138;11248;1;199.9;179.91
139;1951;13782;5142;32;5351;139;;4;69.36;69.36
140;147;11550;2618;22;9054;140;3360;10;259.6;233.64
141;446;5614;3781;68;3340;141;;9;1191.33;1191.33
142;1612;14133;12877;58;143;142;8901;5;192.25;173.03
143;395;9140;2788;33;14450;143;2332;3;94.44;85
144;1026;5052;13720;31;10486;144;424;10;998.6;898.74
145;1684;5215;11057;43;6148;145;;3;485.16;485.16
146;46;1960;8188;42;6468;146;;7;767.69;767.69
147;1565;7783;4334;70;12309;147;1178;4;607.36;546.62
148;85;5769;10244;58;834;148;6032;8;961.6;865.44
149;491;10018;2570;34;5351;149;;1;149.58;149.58
150;569;1610;4993;24;12170;150;;6;31.56;31.56
151;1156;3662;13779;28;2413;151;9976;10;195.4;175.86
152;1202;13584;7783;61;11494;152;;5;413.55;413.55
153;1196;8226;7864;51;8397;153;;5;349.95;349.95
154;201;13553;5602;5;13050;154;3998;10;486.4;437.76
155;987;798;12250;3;7552;155;;10;1233;1233
156;1132;3554;9213;47;955;156;;7;523.11;523.11
157;1230;11267;12495;38;9167;157;;9;1081.89;1081.89
158;1027;14181;10552;6;5424;158;8170;5;131.65;118.49
159;1421;85;8557;31;6962;159;;10;1516.5;1516.5
160;2117;4690;13981;60;7258;160;8990;9;651.78;586.6
161;406;13538;5911;69;2444;161;;5;238.55;238.55
162;2087;7636;143;11;12712;162;;3;139.59;139.59
163;866;78;2050;19;1744;163;;6;91.92;91.92
164;789;11620;10756;53;795;164;;9;1429.11;1429.11
165;1452;12875;13452;56;12880;165;;9;1566.99;1566.99
166;936;1340;4446;18;8384;166;;2;278.98;278.98
167;2152;9563;12884;43;13326;167;;8;918.56;918.56
168;323;7945;7068;1;13717;168;2155;3;297.12;267.41
169;800;13980;8824;31;1907;169;4007;10;1636.4;1472.76
170;2043;14657;4201;50;12536;170;;7;812.35;812.35
171;1003;9533;7537;2;2086;171;;7;1120.35;1120.35
172;347;10438;13344;24;14398;172;;2;247.5;247.5
173;2153;5448;7770;50;13237;173;12818;7;932.75;839.48
174;1425;14218;13091;51;7916;174;;8;508.24;508.24
175;1371;14970;11078;44;11012;175;;1;96.69;96.69
176;2106;4932;848;53;9509;176;;6;314.7;314.7
177;782;9785;7425;6;1392;177;;1;171.79;171.79
178;422;12951;988;10;9937;178;;7;1391.32;1391.32
179;1873;2491;2784;5;5355;179;;9;1201.5;1201.5
180;1133;12029;3352;15;8449;180;;4;646.6;646.6
181;685;1099;9486;67;4831;181;;8;630.24;630.24
182;1170;4220;3072;23;9454;182;3901;3;568.23;511.41
183;1544;1089;13464;15;12464;183;;6;1092.12;1092.12
184;1877;232;14627;34;2542;184;;10;937.2;937.2
185;857;4780;11316;30;9485;185;9294;10;909.5;818.55
186;738;12960;9410;54;13688;186;;8;1144.56;1144.56
187;1126;13548;7713;43;10989;187;;3;539.46;539.46
188;1831;12374;7846;36;4766;188;;5;875.6;875.6
189;327;1758;2969;29;5096;189;;8;514.48;514.48
190;1410;7792;997;69;7750;190;;3;96.09;96.09
191;1738;1048;13776;5;1182;191;8415;5;238.45;214.6
192;2150;7913;13286;66;8181;192;2861;8;1304.72;1174.25
193;195;5423;4275;17;8144;193;;10;554.1;554.1
194;1920;12366;6186;64;6067;194;918;1;147.6;132.84
195;824;638;14306;15;10538;195;3586;6;694.2;624.78
196;1752;554;1459;31;7752;196;;10;606.4;606.4
197;2139;1391;9560;29;10732;197;;10;344.4;344.4
198;1179;637;13576;75;4283;198;;10;132.9;132.9
199;535;7119;9996;26;3113;199;;7;665.42;665.42
200;859;4778;6550;10;6443;200;;2;152.52;152.52
201;1586;9415;13475;67;11517;201;;7;1347.08;1347.08
202;570;7300;7191;54;897;202;;8;600.08;600.08
203;1152;3400;10651;2;14106;203;1240;7;266.49;239.84
204;213;8997;5342;34;10658;204;8820;2;215.82;194.24
205;1654;5499;3043;69;9527;205;2435;2;128.56;115.7
206;419;2836;6566;37;7779;206;;8;570.24;570.24
207;1588;5856;8785;29;3091;207;14283;1;82.36;74.12
208;1564;14123;12812;40;13679;208;;10;928.6;928.6
209;276;3360;39;4;11760;209;10160;5;956.9;861.21
210;614;8735;10283;4;8992;210;;6;768.12;768.12
211;1103;14435;12801;27;2665;211;;5;948.2;948.2
212;241;2313;3535;15;7565;212;;6;351.36;351.36
213;1944;8422;4832;14;12880;213;;9;1743.48;1743.48
214;554;13625;2649;16;14588;214;10126;5;76.4;68.76
215;559;10460;5314;35;9169;215;;3;25.2;25.2
216;247;7911;5342;20;7111;216;;7;983.64;983.64
217;1933;14442;11611;74;6800;217;4432;4;393.52;354.17
218;71;1056;13188;61;8811;218;;3;70.83;70.83
219;1517;7012;7809;50;13250;219;;5;530.05;530.05
220;207;769;10974;50;11210;220;10147;9;1674.99;1507.49
221;2099;3769;3022;31;7405;221;;8;482.8;482.8
222;1395;8592;5381;3;2415;222;;7;245.63;245.63
223;721;10093;4752;62;7944;223;;2;211.48;211.48
224;2154;13444;3572;46;7948;224;;1;57.79;57.79
225;70;4541;4619;10;6161;225;;8;619.92;619.92
226;1779;14799;9327;14;9331;226;;9;1412.64;1412.64
227;2038;1168;3855;52;12703;227;7330;9;394.2;354.78
228;1406;2912;4700;46;14091;228;;9;913.68;913.68
229;1363;11769;2623;43;4675;229;2783;6;781.8;703.62
230;2166;14641;475;9;13299;230;;7;446.6;446.6
231;1788;6477;12216;73;263;231;;6;1018.86;1018.86
232;194;4521;9057;64;4099;232;11345;9;875.79;788.21
233;1436;5403;10409;68;1385;233;;3;435.06;435.06
234;1536;3527;8026;11;2921;234;6711;9;1236.06;1112.45
235;1479;7486;12812;72;6262;235;;2;353.1;353.1
236;1976;6305;4450;63;12295;236;;6;170.04;170.04
237;1991;5046;14624;22;10703;237;5368;3;97.68;87.91
238;675;3305;6648;46;11350;238;;8;894.4;894.4
239;1763;5480;5768;74;3574;239;5402;3;355.92;320.33
240;1332;3369;9878;55;3038;240;;7;65.87;65.87
241;1535;8358;8308;12;14620;241;;3;249.69;249.69
242;2156;8315;10736;56;5512;242;12308;4;568.76;511.88
243;36;3245;14056;17;817;243;;6;592.14;592.14
244;548;11617;5421;33;1776;244;;9;1701.54;1701.54
245;660;12303;10649;58;13494;245;2274;4;204.64;184.18
246;1034;8322;7563;38;10425;246;;9;445.05;445.05
247;1202;9614;7647;11;211;247;;1;191.64;191.64
248;1258;5266;4376;67;7108;248;;4;147.16;147.16
249;1246;10573;7185;51;12977;249;2205;3;122.85;110.56
250;1558;8315;12130;39;5449;250;;6;175.56;175.56
251;1864;7247;10157;64;1054;251;;1;47.06;47.06
252;2053;7250;7572;26;3456;252;;2;371.72;371.72
253;158;10717;1688;48;4071;253;;2;190.74;190.74
254;1148;14694;13671;37;5364;254;;4;226.32;226.32
255;104;11720;8223;9;11214;255;;3;46.59;46.59
256;673;2367;6745;69;14167;256;;3;437.22;437.22
257;974;10643;11575;75;9888;257;735;10;620;558
258;120;4737;7080;28;6549;258;;7;463.61;463.61
259;1441;12044;9262;50;12520;259;1406;7;1123.64;1011.28
260;172;6979;4103;66;6303;260;14546;4;546.76;492.08
261;159;4084;1782;20;3152;261;6535;4;564.36;507.92
262;1013;6258;13241;2;12085;262;;8;1103.92;1103.92
263;424;13577;3432;52;1712;263;;10;1432.6;1432.6
264;1087;14055;13213;72;2031;264;;5;900.6;900.6
265;133;2012;11929;62;5824;265;;7;577.78;577.78
266;2113;11454;1809;3;11332;266;;7;486.57;486.57
267;1460;14421;12470;41;5542;267;5972;6;322.92;290.63
268;1043;11165;9339;45;9590;268;14717;9;1099.26;989.33
269;2074;343;3380;52;9578;269;3251;8;989.68;890.71
270;1793;11669;11524;54;9518;270;9938;6;707.28;636.55
271;775;14425;9768;14;11123;271;;2;62.56;62.56
272;1788;1969;13627;7;6033;272;;5;300;300
273;703;6825;13412;48;3947;273;5557;8;1188.72;1069.85
274;1617;5609;2060;65;3079;274;;1;36.49;36.49
275;339;13293;9882;62;5097;275;;1;131.79;131.79
276;1940;1643;3452;41;13076;276;;8;790.72;790.72
277;1631;9704;14206;49;12135;277;;5;467.55;467.55
278;1223;7786;7079;16;1137;278;;1;122.18;122.18
279;31;14789;101;29;416;279;;7;230.58;230.58
280;587;14418;14635;9;12624;280;;10;1917.2;1917.2
281;1923;10551;7334;54;8634;281;7454;7;468.23;421.41
282;481;2362;6568;12;5459;282;;5;648.65;648.65
283;1865;10569;4786;71;14308;283;;5;133.4;133.4
284;1423;13669;1372;45;10289;284;;2;383.04;383.04
285;1787;2165;9447;66;533;285;;7;657.3;657.3
286;688;3254;1907;2;14809;286;;8;1083.76;1083.76
287;235;3477;14605;5;322;287;;4;786.64;786.64
288;2158;3712;1984;71;13007;288;;3;336.96;336.96
289;1516;7004;11122;50;8401;289;;3;354.27;354.27
290;378;2611;5365;5;12795;290;;1;50.6;50.6
291;1788;2294;12374;25;4488;291;;3;466.62;466.62
292;880;2768;11621;32;7957;292;10403;7;702.73;632.46
293;1327;3041;110;32;8911;293;8283;4;663.68;597.31
294;1479;11792;13290;40;7595;294;;10;1927.3;1927.3
295;1504;3627;12569;44;3714;295;;9;323.64;323.64
296;2017;11567;6936;32;8812;296;;10;280;280
297;1258;8414;7045;17;11295;297;;10;494.7;494.7
298;918;13475;3452;19;6926;298;;8;47.28;47.28
299;529;5323;6821;3;14844;299;3356;1;175.81;158.23
300;998;1492;4266;65;9599;300;;5;219.75;219.75
301;1904;6834;5686;67;11600;301;;2;381.82;381.82
302;499;4115;977;19;11501;302;;2;371.86;371.86
303;2150;4894;1502;44;4162;303;;9;1070.19;1070.19
304;1942;7709;1272;48;2991;304;;2;225.4;225.4
305;1796;14534;3017;13;12388;305;9364;8;1551.52;1396.37
306;1727;1011;2530;48;9992;306;1764;3;358.38;322.54
307;224;248;5902;41;13212;307;;8;364.96;364.96
308;2074;6162;2641;60;2576;308;3557;5;649.85;584.87
309;156;3110;7527;56;9385;309;;3;30.84;30.84
310;1820;1067;2476;52;9708;310;12577;10;1257.5;1131.75
311;1403;14305;11864;31;10925;311;;10;1468.6;1468.6
312;52;1848;5005;24;684;312;;4;581.88;581.88
313;2123;10597;8376;29;349;313;;2;146.48;146.48
314;388;3541;12265;76;13979;314;5490;2;364.2;327.78
315;1343;11351;12868;28;1022;315;;5;701.7;701.7
316;1172;8611;5853;22;5338;316;;9;1104.66;1104.66
317;248;10724;2491;62;14007;317;9035;6;945.84;851.26
318;1154;6530;13397;2;14518;318;5626;1;71.75;64.58
319;491;7349;9505;61;6614;319;;7;511.84;511.84
320;1438;3574;7209;48;5722;320;5046;9;1305.45;1174.9
321;1255;14213;8105;18;12030;321;;6;979.86;979.86
322;1734;6875;5817;9;898;322;;8;1349.84;1349.84
323;550;13590;12404;23;12931;323;;3;413.07;413.07
324;807;13350;8224;22;6296;324;;4;412.76;412.76
325;1392;1847;3134;36;8196;325;;9;1738.17;1738.17
326;1197;5951;2524;16;13233;326;;6;955.56;955.56
327;2081;13783;14910;75;7671;327;;7;603.26;603.26
328;1213;9868;8117;35;7566;328;;4;691.4;691.4
329;139;1500;4376;14;7720;329;4500;1;189.31;170.38
330;1019;12136;9643;38;1404;330;;3;130.08;130.08
331;1783;7640;9781;33;7901;331;14083;10;416.4;374.76
332;935;10949;13967;19;14075;332;;5;648.8;648.8
333;1534;2890;4648;54;6516;333;176;9;1201.77;1081.59
334;538;14816;6296;35;74;334;;5;692.15;692.15
335;214;13354;11618;2;11969;335;;3;196.68;196.68
336;2093;11058;13148;21;1594;336;;1;25.78;25.78
337;1072;9488;5394;76;14706;337;;5;936.3;936.3
338;70;7954;11657;62;2448;338;1204;6;281.4;253.26
339;1797;10717;9165;4;5650;339;;10;942.9;942.9
340;697;11644;1174;27;844;340;;2;320.64;320.64
341;1054;13086;12302;35;9588;341;;8;1012.8;1012.8
342;1988;6443;14022;58;9614;342;;2;186.54;186.54
343;949;3771;14228;21;6548;343;;10;239.4;239.4
344;667;11985;7749;8;12049;344;;4;250.36;250.36
345;270;134;6505;76;4343;345;7743;8;1476.96;1329.26
346;955;4334;14982;15;12705;346;13055;9;1106.91;996.22
347;116;7563;11568;8;12716;347;;2;365.66;365.66
348;1698;9937;5167;56;4959;348;;10;558.3;558.3
349;730;14534;2084;37;1778;349;3822;8;103.2;92.88
350;896;927;13257;54;11487;350;;5;70.75;70.75
351;1390;14831;8454;26;1997;351;;3;278.79;278.79
352;458;11587;14854;54;6911;352;;8;999.28;999.28
353;410;6185;972;49;3925;353;;9;1253.25;1253.25
354;849;1370;7676;21;1108;354;;1;25.38;25.38
355;1086;12827;5990;69;7071;355;;8;1317.92;1317.92
356;1711;4714;14438;47;4509;356;6136;10;1230.4;1107.36
357;792;11746;7468;30;11907;357;;5;44.75;44.75
358;1971;10800;1451;12;14877;358;;7;1339.94;1339.94
359;576;14285;12962;72;3143;359;;5;189.4;189.4
360;1605;12159;5743;77;12206;360;;4;687.64;687.64
361;1427;14759;3141;49;1758;361;;7;1393.63;1393.63
362;1904;13984;11500;32;6997;362;1952;8;333.52;300.17
363;2050;8911;6817;48;10656;363;;9;294.66;294.66
364;992;5245;6151;73;6774;364;;5;726.2;726.2
365;1612;7125;11034;2;3362;365;;10;1013.8;1013.8
366;1078;7663;3850;30;10811;366;;9;1409.13;1409.13
367;875;8393;11656;67;5036;367;;7;1106.07;1106.07
368;286;844;866;64;7275;368;9803;4;85.92;77.33
369;221;2978;2795;40;13078;369;;8;130.48;130.48
370;1049;6072;14917;46;4379;370;;2;331.3;331.3
371;621;12639;4443;67;5273;371;;5;526.7;526.7
372;1062;3096;1912;43;1788;372;;9;1388.25;1388.25
373;691;14113;8209;18;6574;373;;9;1511.01;1511.01
374;157;11125;2597;37;9030;374;14708;1;24.77;22.29
375;2181;8925;3781;72;7558;375;;8;1402.16;1402.16
376;542;8329;1113;63;4620;376;;6;434.82;434.82
377;79;9717;2824;27;3843;377;;9;963.45;963.45
378;834;3309;256;47;368;378;;3;233.67;233.67
379;2088;10956;8314;41;14513;379;;7;1106.28;1106.28
380;2068;11444;14250;41;7235;380;;8;461.12;461.12
381;440;11669;2450;67;14794;381;;8;859.12;859.12
382;671;14249;13201;37;13233;382;8747;5;210.85;189.76
383;1192;5760;828;36;4007;383;;10;1147.5;1147.5
384;2048;6910;367;76;9165;384;;1;192.61;192.61
385;1255;5901;13734;13;8515;385;4634;7;1317.33;1185.6
386;1852;2572;11822;35;4459;386;;2;397.68;397.68
387;622;2743;14675;42;2658;387;;9;1089.18;1089.18
388;2087;3668;12219;12;14628;388;9126;6;708.9;638.01
389;903;5338;7478;23;12858;389;;4;329.72;329.72
390;918;6961;1791;28;9829;390;;3;413.01;413.01
391;1981;1301;7801;20;3591;391;;1;196.46;196.46
392;737;11980;9799;64;5865;392;13036;9;1094.76;985.28
393;1371;4146;5104;24;13184;393;;4;430.84;430.84
394;1163;14189;391;65;817;394;;10;1486.8;1486.8
395;2026;1582;12752;62;12651;395;7802;5;645.05;580.54
396;413;3851;12685;5;9412;396;;8;157.28;157.28
397;364;7079;5522;44;1151;397;;6;167.76;167.76
398;1521;14231;10454;77;125;398;6041;10;831.6;748.44
399;1697;1902;6558;48;11228;399;;3;414.6;414.6
400;1232;3870;6205;68;2900;400;;1;82.58;82.58
401;1056;3028;12116;44;4541;401;;7;134.12;134.12
402;900;10245;14750;4;8745;402;6536;6;466.02;419.42
403;445;784;1144;37;14800;403;;1;168.58;168.58
404;1443;10547;759;38;14116;404;;2;320.22;320.22
405;2119;7194;8378;7;10390;405;;10;1337.6;1337.6
406;1112;8531;5971;59;4376;406;7250;3;113.4;102.06
407;1907;11562;9578;13;5172;407;;5;327;327
408;558;10143;2486;3;7033;408;;2;313.02;313.02
409;1517;11085;7045;37;2144;409;;9;241.74;241.74
410;1219;6436;14387;58;6686;410;;2;187.44;187.44
411;1593;10350;2325;45;3029;411;;1;117.18;117.18
412;547;8717;7829;57;272;412;;5;97.85;97.85
413;1249;13868;8508;73;6781;413;;1;39.31;39.31
414;2158;13096;2681;11;10507;414;9015;7;448.7;403.83
415;713;10469;13201;14;11005;415;;4;293.6;293.6
416;1199;11049;13522;52;2001;416;326;3;188.34;169.51
417;1280;6821;10438;2;12966;417;;4;763.8;763.8
418;1527;984;1396;23;7003;418;;7;276.36;276.36
419;286;10628;4766;32;14629;419;;4;385.28;385.28
420;1038;11172;7930;40;7156;420;;5;310.9;310.9
421;1373;7797;6992;24;8619;421;;6;397.86;397.86
422;597;11418;12112;74;258;422;;8;1569.6;1569.6
423;1691;8643;8963;17;6994;423;;5;322.85;322.85
424;253;3983;13881;47;8865;424;;3;287.88;287.88
425;2;1128;12199;22;664;425;;10;1476.9;1476.9
426;124;7219;6317;35;482;426;;4;393.96;393.96
427;850;9170;6610;5;786;427;1244;3;469.29;422.36
428;1765;5777;12070;61;7408;428;;2;28.6;28.6
429;1978;271;6914;18;11438;429;;9;306.09;306.09
430;725;366;6322;41;12213;430;13524;2;54.78;49.3
431;249;11455;3041;3;11643;431;4959;3;395.46;355.91
432;200;10561;8137;10;3872;432;;8;1286.96;1286.96
433;1639;14933;11500;9;3986;433;9082;7;835.59;752.03
434;2084;10419;10146;53;6864;434;;9;208.35;208.35
435;2061;14047;9447;18;1171;435;8260;8;200.56;180.5
436;494;7678;3881;42;7432;436;;3;484.83;484.83
437;1637;11180;340;65;8150;437;;10;1491.1;1491.1
438;1561;11602;10974;68;1237;438;;7;487.76;487.76
439;1034;794;14893;57;3058;439;;4;255.88;255.88
440;940;7286;12390;64;5744;440;1644;5;974.7;877.23
441;1364;9581;1416;31;7266;441;;3;251.13;251.13
442;271;9184;2814;76;4641;442;12363;1;79.41;71.47
443;490;5814;1826;31;152;443;;4;126.52;126.52
444;815;4602;715;59;2540;444;7576;6;979.26;881.33
445;2048;3948;4098;43;4560;445;;2;194.7;194.7
446;1491;8893;14600;58;12310;446;9618;2;322.02;289.82
447;128;12141;14131;76;2627;447;;7;213.78;213.78
448;887;14902;12734;36;10483;448;12816;6;1012.02;910.82
449;199;9078;2676;20;7575;449;;1;169.75;169.75
450;963;13899;13992;35;10511;450;10100;8;881.6;793.44
451;617;1158;11561;40;4386;451;;7;95.9;95.9
452;58;12799;1998;34;6750;452;;10;1292.4;1292.4
453;303;9780;11452;41;3240;453;;6;873.96;873.96
454;583;2787;7296;35;2069;454;;7;64.4;64.4
455;1146;14512;10752;50;7172;455;;9;429.57;429.57
456;165;9430;8135;74;9993;456;6362;9;1609.65;1448.69
457;1130;5038;10245;56;1180;457;9372;3;461.49;415.34
458;1787;13930;12592;6;5633;458;8757;1;62.9;56.61
459;154;7619;8506;21;7112;459;;1;136.41;136.41
460;6;9302;11046;24;5537;460;;4;382.12;382.12
461;246;6869;1785;25;11288;461;;7;77.77;77.77
462;1880;4933;9058;42;4558;462;9144;2;130.96;117.86
463;1144;346;10794;50;12739;463;;6;351.9;351.9
464;491;4777;8653;72;14262;464;11167;5;56.4;50.76
465;111;6980;7083;54;3377;465;;7;782.53;782.53
466;1403;571;6576;46;7474;466;;5;642.45;642.45
467;93;1272;11072;42;4119;467;;6;448.56;448.56
468;888;5317;14839;73;6837;468;;6;1067.22;1067.22
469;1665;14567;1669;18;7240;469;;3;89.49;89.49
470;1995;12476;7620;32;81;470;;8;1187.84;1187.84
471;268;14445;7458;49;6819;471;;4;144.84;144.84
472;1501;12304;11846;36;4862;472;14209;2;55.66;50.09
473;1386;1871;13846;33;11993;473;;2;167.14;167.14
474;272;13079;8984;74;3004;474;;3;117.69;117.69
475;1788;231;13561;8;9277;475;11528;7;1336.79;1203.11
