"id_promocion","descripcion","descuento"
"119","2x1 en productos seleccionados","12.54"
"120","Oferta relámpago en bebidas y licores","14.81"
"121","Cashback en compras con tarjeta de crédito","33.35"
"122","Descuento en productos de belleza y cuidado personal","18.23"
"123","Oferta especial en tecnología","32.25"
"124","Rebaja en productos de limpieza","42.73"
"125","Descuento en alimentos congelados","10.25"
"126","Descuento en electrodomésticos","24.08"
"127","Descuento en electrodomésticos","16.92"
"128","Descuento en electrodomésticos","5.31"
"129","Descuento en productos de hogar","40.87"
"130","Descuento exclusivo para clientes premium","28.39"
"131","Oferta relámpago en bebidas y licores","14.18"
"132","Descuento en electrodomésticos","17.75"
"133","Descuento en productos de belleza y cuidado personal","18.38"
"134","2x1 en productos seleccionados","19.36"
"135","2x1 en productos seleccionados","49.61"
"136","Promoción exclusiva para tarjetas OH","34.46"
"137","Promoción de regreso a clases","22.07"
"138","2x1 en productos seleccionados","20.38"
"139","Oferta relámpago en bebidas y licores","42.59"
"140","Promoción de regreso a clases","35.91"
"141","Oferta relámpago en bebidas y licores","47.44"
"142","2x1 en productos seleccionados","28.10"
"143","Rebaja en productos de limpieza","17.26"
"144","Cashback en compras con tarjeta de crédito","26.27"
"145","Descuento en productos de belleza y cuidado personal","35.29"
"146","2x1 en productos seleccionados","35.75"
"147","Cashback en compras con tarjeta de crédito","16.88"
"148","2x1 en productos seleccionados","21.18"
"149","Descuento en productos de belleza y cuidado personal","35.13"
"150","Descuento exclusivo para clientes premium","42.72"
"151","Descuento exclusivo para clientes premium","8.95"
"152","Promoción exclusiva para tarjetas OH","27.19"
"153","Cashback en compras con tarjeta de crédito","46.10"
"154","Promoción de verano","24.86"
"155","Descuento en productos de belleza y cuidado personal","17.64"
"156","Descuento exclusivo para clientes premium","49.92"
"157","Descuento en productos de hogar","46.51"
"158","Descuento en productos de hogar","26.10"
"159","Descuento en productos de belleza y cuidado personal","17.17"
"160","Descuento en productos de hogar","34.43"
"161","Descuento en electrodomésticos","6.08"
"162","Promoción exclusiva para tarjetas OH","21.03"
"163","Descuento en electrodomésticos","44.21"
"164","Descuento en electrodomésticos","24.37"
"165","Rebaja en productos de limpieza","31.63"
"166","Oferta relámpago en bebidas y licores","24.69"
"167","Promoción de verano","5.98"
"168","Descuento por primera compra","44.48"
"169","Oferta relámpago en bebidas y licores","34.64"
"170","Rebaja en productos de limpieza","40.55"
"171","Promoción exclusiva para tarjetas OH","11.51"
"172","Descuento en electrodomésticos","45.53"
"173","Descuento en alimentos congelados","11.76"
"174","Cashback en compras con tarjeta de crédito","45.60"
"175","Oferta relámpago en bebidas y licores","15.18"
"176","Cashback en compras con tarjeta de crédito","14.39"
"177","Rebaja en productos de limpieza","20.77"
"178","2x1 en productos seleccionados","47.36"
"179","Descuento en productos de belleza y cuidado personal","8.52"
"180","2x1 en productos seleccionados","21.32"
"181","Rebaja en productos de limpieza","31.75"
"182","Descuento en alimentos congelados","10.51"
"183","Promoción de verano","11.62"
"184","Promoción de regreso a clases","23.90"
"185","Descuento por primera compra","46.37"
"186","2x1 en productos seleccionados","48.78"
"187","Rebaja en productos de limpieza","7.04"
"188","Rebaja en productos de limpieza","33.40"
"189","2x1 en productos seleccionados","13.06"
"190","Descuento en electrodomésticos","21.71"
"191","Descuento exclusivo para clientes premium","9.43"
"192","Promoción de verano","34.60"
"193","Oferta relámpago en bebidas y licores","41.80"
"194","Descuento en electrodomésticos","41.29"
"195","Promoción exclusiva para tarjetas OH","40.57"
"196","Oferta especial en tecnología","47.16"
"197","Descuento exclusivo para clientes premium","14.63"
"198","Descuento en electrodomésticos","43.97"
"199","Descuento en alimentos congelados","5.43"
"200","Descuento en alimentos congelados","45.04"
"201","Descuento en electrodomésticos","20.95"
"202","Rebaja en productos de limpieza","34.73"
"203","Oferta relámpago en bebidas y licores","6.36"
"204","Descuento en alimentos congelados","46.47"
"205","Promoción exclusiva para tarjetas OH","6.20"
"206","Descuento en electrodomésticos","49.57"
"207","Descuento en electrodomésticos","6.37"
"208","Descuento por compra mayor a S/100","28.29"
"209","Rebaja en productos de limpieza","40.41"
"210","Promoción de regreso a clases","7.68"
"211","Descuento en electrodomésticos","42.18"
"212","Descuento por compra mayor a S/100","44.75"
"213","Descuento exclusivo para clientes premium","14.03"
"214","Cashback en compras con tarjeta de crédito","12.86"
"215","Descuento en productos de belleza y cuidado personal","23.71"
"216","Cashback en compras con tarjeta de crédito","30.68"
"217","Promoción de verano","8.93"
"218","Descuento en electrodomésticos","7.56"
"219","Descuento en productos de hogar","19.12"
"220","Descuento en productos de hogar","9.27"
"221","Descuento en productos de belleza y cuidado personal","13.19"
"222","Promoción exclusiva para tarjetas OH","15.05"
"223","2x1 en productos seleccionados","16.91"
"224","Descuento en alimentos congelados","15.89"
"225","Descuento por primera compra","49.47"
"226","Descuento por primera compra","23.28"
"227","Oferta relámpago en bebidas y licores","9.34"
"228","Descuento en electrodomésticos","20.98"
"229","Descuento por primera compra","32.93"
"230","Descuento en electrodomésticos","8.80"
"231","Oferta especial en tecnología","40.89"
"232","Oferta relámpago en bebidas y licores","9.94"
"233","Cashback en compras con tarjeta de crédito","17.04"
"234","Descuento en alimentos congelados","43.08"
"235","Descuento en alimentos congelados","12.18"
"236","Descuento en productos de belleza y cuidado personal","39.45"
"237","Rebaja en productos de limpieza","23.84"
"238","Descuento en productos de belleza y cuidado personal","14.20"
"239","Descuento por primera compra","6.98"
"240","Promoción exclusiva para tarjetas OH","21.06"
"241","Descuento en alimentos congelados","37.78"
"242","2x1 en productos seleccionados","7.67"
"243","Promoción de regreso a clases","37.56"
"244","Promoción exclusiva para tarjetas OH","7.61"
"245","Cashback en compras con tarjeta de crédito","24.70"
"246","Descuento por primera compra","12.61"
"247","Descuento exclusivo para clientes premium","11.80"
"248","Rebaja en productos de limpieza","6.17"
"249","Promoción exclusiva para tarjetas OH","42.85"
"250","Cashback en compras con tarjeta de crédito","27.66"
"251","Descuento en alimentos congelados","35.56"
"252","Promoción de verano","48.28"
"253","Descuento por primera compra","28.52"
"254","Descuento por compra mayor a S/100","45.62"
"255","Descuento exclusivo para clientes premium","6.09"
"256","Descuento por compra mayor a S/100","13.98"
"257","2x1 en productos seleccionados","47.89"
"258","Cashback en compras con tarjeta de crédito","47.11"
"259","Oferta especial en tecnología","35.25"
"260","Promoción exclusiva para tarjetas OH","47.87"
"261","Descuento exclusivo para clientes premium","26.44"
"262","Descuento exclusivo para clientes premium","24.87"
"263","Descuento en productos de belleza y cuidado personal","49.22"
"264","Descuento por primera compra","12.57"
"265","Oferta relámpago en bebidas y licores","39.21"
"266","Descuento en alimentos congelados","32.36"
"267","Oferta relámpago en bebidas y licores","33.08"
"268","Oferta especial en tecnología","21.54"
"269","Descuento exclusivo para clientes premium","48.01"
"270","Promoción exclusiva para tarjetas OH","19.22"
"271","Descuento en alimentos congelados","20.48"
"272","Oferta relámpago en bebidas y licores","9.65"
"273","Promoción de regreso a clases","44.71"
"274","Descuento en electrodomésticos","19.47"
"275","Descuento por primera compra","48.80"
"276","Descuento en productos de hogar","47.42"
"277","Descuento por primera compra","12.62"
"278","Descuento en alimentos congelados","36.36"
"279","Oferta relámpago en bebidas y licores","43.84"
"280","Descuento en productos de hogar","42.94"
"281","Oferta relámpago en bebidas y licores","10.44"
"282","Descuento exclusivo para clientes premium","40.53"
"283","2x1 en productos seleccionados","32.76"
"284","Rebaja en productos de limpieza","18.48"
"285","2x1 en productos seleccionados","11.21"
"286","Oferta relámpago en bebidas y licores","26.18"
"287","2x1 en productos seleccionados","45.13"
"288","Descuento en productos de belleza y cuidado personal","49.28"
"289","Oferta especial en tecnología","25.76"
"290","Descuento por compra mayor a S/100","5.17"
"291","Descuento por compra mayor a S/100","34.52"
"292","Descuento en alimentos congelados","20.40"
"293","Descuento por primera compra","25.39"
"294","Promoción de regreso a clases","42.33"
"295","Descuento en productos de belleza y cuidado personal","23.17"
"296","2x1 en productos seleccionados","49.86"
"297","Descuento por primera compra","16.14"
"298","Descuento exclusivo para clientes premium","39.96"
"299","Descuento en productos de belleza y cuidado personal","21.62"
"300","Promoción exclusiva para tarjetas OH","38.49"
"301","Descuento por compra mayor a S/100","24.15"
"302","Oferta especial en tecnología","21.51"
"303","Oferta especial en tecnología","12.04"
"304","Descuento por compra mayor a S/100","36.84"
"305","Descuento en alimentos congelados","6.62"
"306","Descuento en productos de belleza y cuidado personal","15.98"
"307","Oferta especial en tecnología","46.40"
"308","Descuento en productos de belleza y cuidado personal","28.87"
"309","Descuento por compra mayor a S/100","39.49"
"310","Descuento en productos de hogar","44.93"
"311","Descuento en productos de hogar","42.21"
"312","Oferta relámpago en bebidas y licores","31.59"
"313","Descuento exclusivo para clientes premium","44.82"
"314","Descuento por primera compra","24.13"
"315","Descuento por primera compra","24.56"
"316","2x1 en productos seleccionados","48.14"
"317","Descuento en productos de belleza y cuidado personal","38.34"
"318","Descuento por primera compra","29.80"
"319","Descuento exclusivo para clientes premium","9.67"
"320","2x1 en productos seleccionados","48.80"
"321","Descuento en productos de hogar","12.16"
"322","Descuento en productos de hogar","27.30"
"323","Descuento en alimentos congelados","43.57"
"324","Oferta relámpago en bebidas y licores","6.92"
"325","Descuento por primera compra","18.64"
"326","Descuento en productos de belleza y cuidado personal","38.97"
"327","Cashback en compras con tarjeta de crédito","29.47"
"328","Descuento en alimentos congelados","24.27"
"329","Descuento en productos de hogar","21.48"
"330","Oferta especial en tecnología","35.56"
"331","Descuento en electrodomésticos","48.15"
"332","Descuento en productos de belleza y cuidado personal","49.29"
"333","Descuento en alimentos congelados","48.10"
"334","Descuento en electrodomésticos","24.49"
"335","Descuento en electrodomésticos","26.87"
"336","Descuento por primera compra","31.37"
"337","Oferta especial en tecnología","9.30"
"338","Cashback en compras con tarjeta de crédito","45.91"
"339","Rebaja en productos de limpieza","32.20"
"340","2x1 en productos seleccionados","35.90"
"341","Descuento en alimentos congelados","43.02"
"342","Oferta especial en tecnología","28.14"
"343","Rebaja en productos de limpieza","37.92"
"344","Descuento en productos de belleza y cuidado personal","13.16"
"345","Oferta especial en tecnología","38.61"
"346","2x1 en productos seleccionados","41.92"
"347","Cashback en compras con tarjeta de crédito","14.19"
"348","Promoción de regreso a clases","26.59"
"349","Cashback en compras con tarjeta de crédito","38.98"
"350","Descuento exclusivo para clientes premium","18.73"
"351","Cashback en compras con tarjeta de crédito","18.08"
"352","Descuento en productos de hogar","47.76"
"353","2x1 en productos seleccionados","10.01"
"354","Cashback en compras con tarjeta de crédito","40.09"
"355","Oferta especial en tecnología","28.91"
"356","Rebaja en productos de limpieza","43.11"
"357","Descuento por compra mayor a S/100","12.66"
"358","Descuento en alimentos congelados","47.35"
"359","Descuento exclusivo para clientes premium","34.73"
"360","Rebaja en productos de limpieza","19.99"
"361","Promoción exclusiva para tarjetas OH","39.30"
"362","Rebaja en productos de limpieza","19.29"
"363","Rebaja en productos de limpieza","29.29"
"364","Descuento en electrodomésticos","30.10"
"365","Descuento por primera compra","25.45"
"366","Rebaja en productos de limpieza","47.47"
"367","Descuento en productos de hogar","19.88"
"368","Oferta especial en tecnología","39.45"
"369","Rebaja en productos de limpieza","33.71"
"370","Descuento por compra mayor a S/100","13.68"
"371","Descuento en alimentos congelados","33.78"
"372","Oferta relámpago en bebidas y licores","30.78"
"373","Oferta especial en tecnología","30.47"
"374","Descuento por primera compra","15.28"
"375","Descuento en electrodomésticos","19.20"
"376","Descuento por compra mayor a S/100","30.79"
"377","Descuento por compra mayor a S/100","13.14"
"378","Rebaja en productos de limpieza","38.35"
"379","Promoción de verano","28.70"
"380","Oferta especial en tecnología","44.33"
"381","Promoción de verano","25.04"
"382","Oferta especial en tecnología","46.47"
"383","2x1 en productos seleccionados","49.69"
"384","Rebaja en productos de limpieza","29.25"
"385","Descuento por compra mayor a S/100","34.05"
"386","Descuento en alimentos congelados","23.58"
"387","2x1 en productos seleccionados","34.83"
"388","Descuento en alimentos congelados","38.48"
"389","Descuento por primera compra","46.39"
"390","Cashback en compras con tarjeta de crédito","9.22"
"391","Oferta relámpago en bebidas y licores","46.83"
"392","Promoción exclusiva para tarjetas OH","23.91"
"393","Oferta relámpago en bebidas y licores","40.30"
"394","Descuento en productos de belleza y cuidado personal","33.83"
"395","Descuento en alimentos congelados","11.72"
"396","Promoción exclusiva para tarjetas OH","37.43"
"397","Rebaja en productos de limpieza","49.34"
"398","Promoción exclusiva para tarjetas OH","18.13"
"399","Descuento por primera compra","46.02"
"400","Descuento por primera compra","11.95"
"401","Descuento por compra mayor a S/100","34.17"
"402","Promoción exclusiva para tarjetas OH","27.68"
"403","Descuento exclusivo para clientes premium","27.21"
"404","Descuento en productos de belleza y cuidado personal","43.44"
"405","Promoción de verano","39.50"
"406","Oferta especial en tecnología","35.90"
"407","Descuento por primera compra","16.74"
"408","Promoción exclusiva para tarjetas OH","16.27"
"409","Promoción de regreso a clases","7.62"
"410","Descuento por primera compra","20.59"
"411","Promoción de regreso a clases","35.19"
"412","Oferta especial en tecnología","21.12"
"413","Promoción exclusiva para tarjetas OH","45.63"
"414","Promoción de regreso a clases","45.39"
"415","Oferta relámpago en bebidas y licores","8.28"
"416","Promoción exclusiva para tarjetas OH","29.43"
"417","Promoción de verano","43.17"
"418","Promoción exclusiva para tarjetas OH","32.29"
"419","2x1 en productos seleccionados","13.84"
"420","Promoción de verano","44.32"
"421","Oferta relámpago en bebidas y licores","48.07"
"422","Oferta relámpago en bebidas y licores","49.05"
"423","Descuento en alimentos congelados","47.50"
"424","Promoción de verano","14.12"
"425","Descuento exclusivo para clientes premium","22.53"
"426","Cashback en compras con tarjeta de crédito","6.51"
"427","Oferta relámpago en bebidas y licores","29.88"
"428","Descuento exclusivo para clientes premium","40.32"
"429","Oferta relámpago en bebidas y licores","12.18"
"430","Descuento por compra mayor a S/100","14.23"
"431","Oferta especial en tecnología","8.40"
"432","Oferta relámpago en bebidas y licores","24.32"
"433","Descuento en productos de belleza y cuidado personal","17.27"
"434","Rebaja en productos de limpieza","16.42"
"435","Descuento en productos de hogar","9.94"
"436","Descuento en productos de hogar","41.05"
"437","Promoción de regreso a clases","47.41"
"438","Descuento en alimentos congelados","21.90"
"439","Promoción de verano","23.75"
"440","Descuento en alimentos congelados","42.09"
"441","Descuento en productos de hogar","42.74"
"442","Cashback en compras con tarjeta de crédito","44.17"
"443","Descuento en productos de belleza y cuidado personal","16.36"
"444","Rebaja en productos de limpieza","38.93"
"445","Cashback en compras con tarjeta de crédito","33.86"
"446","Oferta especial en tecnología","14.78"
"447","2x1 en productos seleccionados","40.94"
"448","Descuento por primera compra","26.19"
"449","Descuento en alimentos congelados","35.32"
"450","Oferta especial en tecnología","32.09"
"451","Promoción exclusiva para tarjetas OH","11.21"
"452","2x1 en productos seleccionados","29.24"
"453","Descuento por compra mayor a S/100","48.77"
"454","Descuento exclusivo para clientes premium","8.62"
"455","Descuento por primera compra","46.65"
"456","Descuento en productos de belleza y cuidado personal","28.06"
"457","Descuento por compra mayor a S/100","36.73"
"458","Descuento en alimentos congelados","21.78"
"459","Promoción de verano","38.05"
"460","Promoción de regreso a clases","12.55"
"461","Descuento en electrodomésticos","29.43"
"462","Promoción de verano","33.42"
"463","Descuento por compra mayor a S/100","25.57"
"464","Oferta relámpago en bebidas y licores","27.97"
"465","Rebaja en productos de limpieza","28.54"
"466","Descuento en productos de hogar","23.78"
"467","Descuento en productos de hogar","16.73"
"468","Descuento en electrodomésticos","25.86"
"469","Promoción de regreso a clases","22.96"
"470","Descuento en productos de hogar","23.78"
"471","Descuento exclusivo para clientes premium","21.57"
"472","Promoción de regreso a clases","43.39"
"473","Promoción de verano","17.52"
"474","Promoción exclusiva para tarjetas OH","42.58"
"475","Descuento por primera compra","36.49"
"476","Promoción exclusiva para tarjetas OH","14.67"
"477","Rebaja en productos de limpieza","8.44"
"478","Descuento por compra mayor a S/100","7.97"
"479","Promoción de regreso a clases","39.24"
"480","Promoción de regreso a clases","10.33"
"481","Descuento en electrodomésticos","36.89"
"482","Descuento por compra mayor a S/100","29.62"
"483","Promoción exclusiva para tarjetas OH","29.86"
"484","Descuento en productos de belleza y cuidado personal","5.07"
"485","2x1 en productos seleccionados","10.25"
"486","Rebaja en productos de limpieza","45.88"
"487","Oferta especial en tecnología","12.26"
"488","Descuento por compra mayor a S/100","6.76"
"489","Descuento en alimentos congelados","18.52"
"490","Descuento en productos de hogar","39.08"
"491","Promoción de regreso a clases","43.74"
"492","Cashback en compras con tarjeta de crédito","38.11"
"493","Descuento en productos de belleza y cuidado personal","9.68"
"494","Promoción de regreso a clases","15.68"
"495","Descuento por primera compra","11.38"
"496","Promoción exclusiva para tarjetas OH","41.83"
"497","Promoción de verano","41.36"
"498","Oferta especial en tecnología","32.82"
"499","Rebaja en productos de limpieza","34.38"
"500","Promoción de verano","31.57"
"501","Oferta especial en tecnología","29.61"
"502","Oferta relámpago en bebidas y licores","14.04"
"503","2x1 en productos seleccionados","45.53"
"504","Promoción de verano","42.08"
"505","Promoción exclusiva para tarjetas OH","43.83"
"506","Descuento en electrodomésticos","40.67"
"507","Cashback en compras con tarjeta de crédito","44.84"
"508","Rebaja en productos de limpieza","15.36"
"509","Descuento en productos de belleza y cuidado personal","42.54"
"510","Descuento en productos de belleza y cuidado personal","44.91"
"511","Promoción de verano","48.52"
"512","Descuento por compra mayor a S/100","5.36"
"513","2x1 en productos seleccionados","42.72"
"514","Cashback en compras con tarjeta de crédito","14.74"
"515","Oferta especial en tecnología","20.51"
"516","Promoción de regreso a clases","23.86"
"517","2x1 en productos seleccionados","31.31"
"518","Promoción exclusiva para tarjetas OH","40.98"
"519","Descuento en electrodomésticos","42.98"
"520","Descuento en electrodomésticos","39.95"
"521","Descuento por compra mayor a S/100","25.84"
"522","Promoción de regreso a clases","16.95"
"523","Descuento en electrodomésticos","22.58"
"524","Descuento en productos de hogar","44.58"
"525","Descuento en productos de hogar","24.74"
"526","Promoción exclusiva para tarjetas OH","42.92"
"527","Oferta relámpago en bebidas y licores","25.14"
"528","Descuento en productos de belleza y cuidado personal","7.78"
"529","Descuento por compra mayor a S/100","36.85"
"530","Oferta especial en tecnología","48.88"
"531","Descuento por primera compra","46.01"
"532","Descuento por compra mayor a S/100","9.43"
"533","Oferta especial en tecnología","27.79"
"534","Descuento por primera compra","26.17"
"535","Descuento por primera compra","42.98"
"536","Oferta especial en tecnología","15.75"
"537","Oferta relámpago en bebidas y licores","38.97"
"538","Descuento en productos de belleza y cuidado personal","45.19"
"539","Promoción exclusiva para tarjetas OH","26.64"
"540","Descuento en productos de belleza y cuidado personal","15.47"
"541","Oferta especial en tecnología","8.25"
"542","Descuento en productos de hogar","18.68"
"543","Oferta relámpago en bebidas y licores","34.71"
"544","Descuento en productos de belleza y cuidado personal","35.85"
"545","Descuento en productos de belleza y cuidado personal","31.80"
"546","Rebaja en productos de limpieza","20.72"
"547","Descuento por compra mayor a S/100","19.35"
"548","Oferta relámpago en bebidas y licores","16.61"
"549","2x1 en productos seleccionados","23.83"
"550","Descuento en alimentos congelados","33.29"
"551","Descuento exclusivo para clientes premium","37.87"
"552","Promoción de verano","27.35"
"553","Cashback en compras con tarjeta de crédito","44.15"
"554","Oferta relámpago en bebidas y licores","46.60"
"555","Promoción de verano","22.05"
"556","Descuento en productos de hogar","7.89"
"557","Descuento en electrodomésticos","35.66"
"558","Descuento en productos de belleza y cuidado personal","10.70"
"559","Descuento por compra mayor a S/100","30.37"
"560","Descuento en electrodomésticos","22.64"
"561","Descuento por primera compra","23.70"
"562","Oferta especial en tecnología","7.87"
"563","Descuento por primera compra","44.33"
"564","Promoción de regreso a clases","36.67"
"565","Descuento en productos de belleza y cuidado personal","6.29"
"566","Descuento en productos de belleza y cuidado personal","38.53"
"567","Promoción de verano","45.37"
"568","Descuento por compra mayor a S/100","35.91"
"569","Descuento exclusivo para clientes premium","49.77"
"570","Descuento en productos de hogar","10.42"
"571","Descuento por compra mayor a S/100","15.01"
"572","Descuento exclusivo para clientes premium","28.66"
"573","Descuento en productos de hogar","39.59"
"574","Promoción de verano","47.97"
"575","Promoción de verano","35.57"
"576","Descuento por primera compra","46.64"
"577","Oferta relámpago en bebidas y licores","13.62"
"578","Descuento exclusivo para clientes premium","29.45"
"579","Descuento en electrodomésticos","49.92"
"580","Descuento en productos de belleza y cuidado personal","33.38"
"581","Promoción de verano","10.51"
"582","Descuento en productos de belleza y cuidado personal","47.19"
"583","Oferta especial en tecnología","15.50"
"584","Descuento por primera compra","44.33"
"585","Descuento por compra mayor a S/100","42.92"
"586","Descuento en alimentos congelados","48.61"
"587","Oferta especial en tecnología","32.19"
"588","Descuento por compra mayor a S/100","20.89"
"589","Oferta especial en tecnología","17.26"
"590","Cashback en compras con tarjeta de crédito","39.44"
"591","Descuento en productos de hogar","42.44"
"592","Oferta relámpago en bebidas y licores","30.72"
"593","Descuento exclusivo para clientes premium","13.80"
"594","Promoción exclusiva para tarjetas OH","44.17"
"595","Promoción de verano","33.70"
"596","Promoción exclusiva para tarjetas OH","7.45"
"597","Descuento en alimentos congelados","17.77"
"598","Promoción exclusiva para tarjetas OH","5.65"
"599","Descuento en electrodomésticos","46.56"
"600","Descuento en electrodomésticos","17.05"
"601","Descuento en productos de belleza y cuidado personal","39.88"
"602","Promoción exclusiva para tarjetas OH","17.08"
"603","Descuento por compra mayor a S/100","29.93"
"604","Descuento por primera compra","27.95"
"605","Descuento por primera compra","43.92"
"606","Descuento en electrodomésticos","29.64"
"607","Oferta especial en tecnología","5.26"
"608","Descuento por primera compra","19.88"
"609","Cashback en compras con tarjeta de crédito","5.67"
"610","Rebaja en productos de limpieza","46.79"
"611","Oferta relámpago en bebidas y licores","30.55"
"612","Rebaja en productos de limpieza","44.33"
"613","Promoción exclusiva para tarjetas OH","17.67"
"614","Descuento por primera compra","13.04"
"615","Rebaja en productos de limpieza","43.61"
"616","Rebaja en productos de limpieza","31.64"
"617","Oferta especial en tecnología","16.60"
"618","Descuento por primera compra","18.76"
"619","Descuento en productos de hogar","12.93"
"620","Rebaja en productos de limpieza","13.18"
"621","Rebaja en productos de limpieza","47.58"
"622","Descuento exclusivo para clientes premium","33.68"
"623","Descuento en productos de belleza y cuidado personal","8.15"
"624","Descuento exclusivo para clientes premium","23.49"
"625","Descuento exclusivo para clientes premium","30.74"
"626","Descuento en electrodomésticos","28.49"
"627","2x1 en productos seleccionados","13.13"
"628","Oferta especial en tecnología","35.88"
"629","Oferta relámpago en bebidas y licores","21.62"
"630","Promoción de regreso a clases","16.90"
"631","Oferta relámpago en bebidas y licores","12.77"
