"id_pago","metodo","monto","fecha_pago"
"98","Tarjeta de Crédito","296.44","2024-07-11"
"99","Transferencia Bancaria","121.57","2024-03-24"
"100","Transferencia Bancaria","432.76","2024-12-08"
"101","Transferencia Bancaria","398.78","2024-06-09"
"102","Transferencia Bancaria","55.07","2024-12-19"
"103","Tarjeta de Crédito","78.37","2024-07-25"
"104","Transferencia Bancaria","381.47","2024-12-13"
"105","Transferencia Bancaria","208.00","2024-06-19"
"106","Efectivo","301.25","2025-01-29"
"107","Transferencia Bancaria","223.81","2024-08-20"
"108","Transferencia Bancaria","166.02","2025-01-05"
"109","Transferencia Bancaria","143.52","2025-03-04"
"110","Transferencia Bancaria","266.82","2024-06-09"
"111","Tarjeta de Débito","206.25","2024-09-26"
"112","Tarjeta de Débito","365.99","2024-08-10"
"113","Tarjeta de Débito","80.77","2024-10-25"
"114","Transferencia Bancaria","216.38","2024-12-10"
"115","Efectivo","451.33","2024-07-31"
"116","Tarjeta de Crédito","306.98","2024-12-15"
"117","Transferencia Bancaria","318.04","2024-04-26"
"118","Efectivo","478.90","2025-01-09"
"119","Efectivo","479.81","2024-11-18"
"120","Transferencia Bancaria","347.44","2024-05-06"
"121","Transferencia Bancaria","262.55","2024-12-02"
"122","Transferencia Bancaria","30.88","2024-05-22"
"123","Tarjeta de Crédito","158.76","2025-02-22"
"124","Transferencia Bancaria","379.09","2024-10-09"
"125","Tarjeta de Débito","19.22","2024-12-14"
"126","Efectivo","475.46","2024-11-21"
"127","Transferencia Bancaria","176.16","2024-09-22"
"128","Efectivo","54.98","2024-03-28"
"129","Tarjeta de Crédito","195.95","2024-11-16"
"130","Efectivo","381.84","2024-08-24"
"131","Tarjeta de Crédito","67.66","2024-04-09"
"132","Tarjeta de Débito","70.32","2025-01-11"
"133","Tarjeta de Débito","273.79","2024-10-07"
"134","Transferencia Bancaria","159.26","2024-08-17"
"135","Tarjeta de Crédito","212.95","2025-02-25"
"136","Tarjeta de Crédito","252.28","2024-11-08"
"137","Transferencia Bancaria","23.74","2024-05-09"
"138","Transferencia Bancaria","339.47","2024-11-09"
"139","Tarjeta de Débito","499.40","2024-04-11"
"140","Transferencia Bancaria","45.00","2024-04-01"
"141","Transferencia Bancaria","103.83","2024-12-23"
"142","Tarjeta de Crédito","313.21","2024-04-03"
"143","Efectivo","254.72","2025-01-17"
"144","Tarjeta de Crédito","252.16","2024-07-08"
"145","Efectivo","469.36","2024-06-29"
"146","Transferencia Bancaria","196.09","2024-03-30"
"147","Transferencia Bancaria","479.91","2025-02-15"
"148","Efectivo","465.63","2025-01-10"
"149","Transferencia Bancaria","191.20","2024-11-28"
"150","Tarjeta de Crédito","383.68","2024-11-30"
"151","Transferencia Bancaria","389.55","2024-03-26"
"152","Transferencia Bancaria","339.23","2024-07-15"
"153","Transferencia Bancaria","359.90","2024-04-03"
"154","Transferencia Bancaria","438.95","2025-02-20"
"155","Tarjeta de Crédito","35.07","2024-09-20"
"156","Transferencia Bancaria","79.53","2025-03-11"
"157","Tarjeta de Crédito","193.93","2025-02-28"
"158","Transferencia Bancaria","195.03","2024-05-26"
"159","Tarjeta de Crédito","201.58","2024-07-17"
"160","Efectivo","78.36","2024-09-26"
"161","Tarjeta de Crédito","363.00","2024-05-23"
"162","Efectivo","181.41","2024-08-18"
"163","Tarjeta de Crédito","294.40","2024-06-14"
"164","Efectivo","213.91","2024-10-18"
"165","Tarjeta de Débito","164.08","2025-03-17"
"166","Transferencia Bancaria","29.18","2024-10-02"
"167","Tarjeta de Crédito","104.66","2024-11-03"
"168","Efectivo","247.71","2024-04-14"
"169","Transferencia Bancaria","147.59","2025-02-13"
"170","Tarjeta de Crédito","55.02","2024-11-03"
"171","Tarjeta de Débito","168.31","2024-08-09"
"172","Tarjeta de Crédito","455.48","2024-04-27"
"173","Transferencia Bancaria","343.38","2024-11-25"
"174","Transferencia Bancaria","278.43","2024-08-14"
"175","Transferencia Bancaria","96.66","2024-05-10"
"176","Transferencia Bancaria","285.99","2024-10-23"
"177","Transferencia Bancaria","132.33","2024-09-28"
"178","Tarjeta de Débito","169.02","2024-11-09"
"179","Efectivo","499.85","2024-03-27"
"180","Efectivo","467.79","2024-06-13"
"181","Tarjeta de Crédito","160.80","2025-03-14"
"182","Transferencia Bancaria","481.23","2024-08-05"
"183","Tarjeta de Débito","84.49","2024-09-15"
"184","Tarjeta de Débito","300.95","2024-04-18"
"185","Transferencia Bancaria","57.66","2025-02-17"
"186","Tarjeta de Crédito","213.73","2024-11-20"
"187","Efectivo","367.41","2024-06-29"
"188","Tarjeta de Débito","231.49","2025-03-08"
"189","Efectivo","122.96","2024-05-05"
"190","Tarjeta de Crédito","389.42","2024-06-07"
"191","Tarjeta de Crédito","153.11","2024-10-16"
"192","Tarjeta de Crédito","138.20","2024-10-03"
"193","Tarjeta de Crédito","488.63","2024-12-24"
"194","Tarjeta de Débito","69.01","2025-02-08"
"195","Efectivo","316.15","2024-04-24"
"196","Tarjeta de Crédito","144.51","2024-11-25"
"197","Transferencia Bancaria","280.76","2024-06-05"
"198","Efectivo","175.96","2024-07-04"
"199","Transferencia Bancaria","146.39","2025-01-09"
"200","Tarjeta de Débito","234.20","2025-01-21"
"201","Tarjeta de Débito","341.33","2025-01-21"
"202","Transferencia Bancaria","237.43","2024-10-30"
"203","Tarjeta de Crédito","339.74","2024-06-28"
"204","Tarjeta de Crédito","166.46","2024-10-18"
"205","Transferencia Bancaria","88.88","2024-05-01"
"206","Efectivo","399.06","2024-09-10"
"207","Tarjeta de Crédito","44.04","2025-02-19"
"208","Tarjeta de Crédito","278.59","2025-03-23"
"209","Transferencia Bancaria","417.82","2024-06-22"
"210","Tarjeta de Débito","252.02","2025-03-06"
"211","Transferencia Bancaria","264.65","2024-08-07"
"212","Transferencia Bancaria","309.55","2024-08-08"
"213","Transferencia Bancaria","194.85","2024-08-10"
"214","Tarjeta de Crédito","145.79","2024-10-06"
"215","Transferencia Bancaria","301.30","2024-07-10"
"216","Tarjeta de Crédito","387.24","2025-01-13"
"217","Transferencia Bancaria","277.48","2024-10-26"
"218","Tarjeta de Crédito","382.63","2024-06-06"
"219","Tarjeta de Crédito","124.30","2024-06-24"
"220","Transferencia Bancaria","495.01","2024-07-14"
"221","Transferencia Bancaria","447.90","2025-02-17"
"222","Tarjeta de Crédito","181.43","2024-03-24"
"223","Transferencia Bancaria","177.69","2024-12-03"
"224","Transferencia Bancaria","285.38","2024-09-09"
"225","Tarjeta de Débito","307.25","2025-01-22"
"226","Transferencia Bancaria","219.03","2025-03-10"
"227","Efectivo","41.08","2024-06-01"
"228","Transferencia Bancaria","370.13","2024-08-22"
"229","Efectivo","277.45","2024-06-26"
"230","Tarjeta de Crédito","461.67","2024-03-25"
"231","Efectivo","325.94","2024-11-15"
"232","Tarjeta de Débito","342.58","2024-10-10"
"233","Transferencia Bancaria","209.40","2024-07-22"
"234","Tarjeta de Crédito","453.71","2024-08-04"
"235","Tarjeta de Crédito","151.61","2024-12-12"
"236","Transferencia Bancaria","125.96","2025-03-22"
"237","Efectivo","479.08","2025-02-01"
"238","Tarjeta de Crédito","433.27","2024-09-02"
"239","Efectivo","138.18","2024-10-01"
"240","Transferencia Bancaria","101.85","2024-04-21"
"241","Tarjeta de Débito","213.33","2024-05-30"
"242","Tarjeta de Crédito","188.35","2025-02-11"
"243","Transferencia Bancaria","178.34","2024-09-25"
"244","Tarjeta de Crédito","442.26","2024-05-15"
"245","Tarjeta de Débito","494.65","2025-01-27"
"246","Tarjeta de Débito","126.61","2025-01-08"
"247","Transferencia Bancaria","213.68","2024-09-12"
"248","Efectivo","471.37","2024-11-28"
"249","Tarjeta de Crédito","110.96","2025-02-21"
"250","Transferencia Bancaria","245.51","2024-04-12"
"251","Transferencia Bancaria","65.62","2024-11-22"
"252","Transferencia Bancaria","262.13","2025-03-05"
"253","Tarjeta de Crédito","28.22","2024-09-24"
"254","Transferencia Bancaria","99.79","2024-11-16"
"255","Transferencia Bancaria","176.81","2025-01-16"
"256","Tarjeta de Crédito","461.46","2024-11-10"
"257","Tarjeta de Crédito","144.84","2024-05-27"
"258","Transferencia Bancaria","120.03","2025-03-10"
"259","Transferencia Bancaria","122.68","2024-06-07"
"260","Tarjeta de Débito","176.21","2024-12-19"
"261","Tarjeta de Crédito","312.21","2024-09-23"
"262","Transferencia Bancaria","460.72","2024-12-13"
"263","Transferencia Bancaria","407.01","2024-05-29"
"264","Efectivo","203.86","2024-07-08"
"265","Transferencia Bancaria","304.65","2024-03-31"
"266","Transferencia Bancaria","405.23","2024-08-18"
"267","Tarjeta de Débito","446.70","2025-01-15"
"268","Efectivo","433.22","2024-11-07"
"269","Tarjeta de Crédito","42.18","2025-02-24"
"270","Tarjeta de Crédito","204.10","2025-03-03"
"271","Tarjeta de Crédito","343.26","2025-02-03"
"272","Tarjeta de Crédito","135.74","2025-03-19"
"273","Efectivo","249.55","2024-08-09"
"274","Transferencia Bancaria","84.16","2024-06-20"
"275","Transferencia Bancaria","450.69","2024-10-24"
"276","Transferencia Bancaria","388.87","2025-02-02"
"277","Transferencia Bancaria","324.17","2024-05-26"
"278","Efectivo","475.93","2024-05-05"
"279","Tarjeta de Crédito","14.83","2025-01-18"
"280","Tarjeta de Crédito","218.31","2024-09-05"
"281","Transferencia Bancaria","77.57","2024-07-04"
"282","Transferencia Bancaria","253.90","2025-03-07"
"283","Transferencia Bancaria","52.86","2024-06-16"
"284","Transferencia Bancaria","200.42","2024-05-21"
"285","Transferencia Bancaria","14.46","2024-04-29"
"286","Transferencia Bancaria","418.68","2024-09-04"
"287","Tarjeta de Débito","177.71","2024-03-29"
"288","Tarjeta de Crédito","39.78","2024-05-04"
"289","Tarjeta de Débito","397.51","2025-01-23"
"290","Transferencia Bancaria","299.11","2024-09-09"
"291","Transferencia Bancaria","66.23","2024-08-04"
"292","Transferencia Bancaria","289.88","2024-05-13"
"293","Efectivo","262.99","2025-03-14"
"294","Transferencia Bancaria","217.54","2024-08-11"
"295","Tarjeta de Débito","269.02","2024-07-30"
"296","Transferencia Bancaria","240.80","2024-08-08"
"297","Tarjeta de Débito","252.88","2024-03-27"
"298","Transferencia Bancaria","432.99","2025-03-02"
"299","Tarjeta de Crédito","199.47","2024-10-26"
"300","Efectivo","418.15","2024-10-10"
"301","Tarjeta de Crédito","260.05","2024-05-12"
"302","Tarjeta de Crédito","369.88","2024-09-26"
"303","Tarjeta de Crédito","378.34","2024-04-19"
"304","Transferencia Bancaria","383.31","2024-11-29"
"305","Transferencia Bancaria","233.64","2024-05-08"
"306","Tarjeta de Crédito","42.12","2025-01-10"
"307","Transferencia Bancaria","432.34","2024-12-12"
"308","Transferencia Bancaria","115.10","2024-11-19"
"309","Tarjeta de Crédito","326.83","2024-03-29"
"310","Tarjeta de Débito","76.22","2024-05-30"
"311","Tarjeta de Crédito","35.41","2024-08-19"
"312","Transferencia Bancaria","111.22","2025-01-15"
"313","Transferencia Bancaria","246.57","2024-10-13"
"314","Transferencia Bancaria","255.72","2024-12-11"
"315","Tarjeta de Débito","33.34","2024-09-04"
"316","Tarjeta de Débito","447.10","2025-03-07"
"317","Transferencia Bancaria","245.67","2024-08-17"
"318","Transferencia Bancaria","468.91","2025-01-01"
"319","Tarjeta de Crédito","277.58","2024-04-14"
"320","Tarjeta de Débito","323.61","2024-06-16"
"321","Transferencia Bancaria","142.54","2024-06-27"
"322","Tarjeta de Débito","324.05","2024-10-28"
"323","Tarjeta de Crédito","69.69","2024-12-13"
"324","Tarjeta de Crédito","269.02","2024-07-21"
"325","Tarjeta de Débito","210.06","2025-01-11"
"326","Tarjeta de Crédito","36.52","2024-04-04"
"327","Transferencia Bancaria","198.32","2024-06-12"
"328","Transferencia Bancaria","459.17","2024-12-12"
"329","Efectivo","13.44","2024-10-05"
"330","Tarjeta de Crédito","494.21","2025-03-22"
"331","Transferencia Bancaria","378.65","2025-01-07"
"332","Tarjeta de Crédito","213.29","2024-04-10"
"333","Transferencia Bancaria","336.09","2024-08-07"
"334","Efectivo","430.80","2025-01-11"
"335","Transferencia Bancaria","281.86","2025-01-14"
"336","Transferencia Bancaria","365.83","2025-03-11"
"337","Efectivo","134.33","2024-07-04"
"338","Efectivo","397.51","2024-08-25"
"339","Efectivo","401.46","2024-10-29"
"340","Tarjeta de Crédito","272.73","2024-06-25"
"341","Transferencia Bancaria","389.15","2024-06-22"
"342","Transferencia Bancaria","452.83","2024-08-16"
"343","Tarjeta de Crédito","117.25","2025-02-28"
"344","Transferencia Bancaria","33.38","2024-08-15"
"345","Tarjeta de Débito","28.75","2024-08-21"
"346","Tarjeta de Débito","160.94","2024-10-19"
"347","Tarjeta de Crédito","408.27","2024-05-27"
"348","Transferencia Bancaria","448.38","2025-01-26"
"349","Tarjeta de Crédito","489.00","2025-03-13"
"350","Tarjeta de Débito","35.59","2024-12-06"
"351","Tarjeta de Débito","255.12","2024-04-02"
"352","Tarjeta de Débito","11.07","2024-09-23"
"353","Transferencia Bancaria","270.80","2025-01-18"
"354","Transferencia Bancaria","281.94","2024-11-14"
"355","Transferencia Bancaria","96.03","2024-11-10"
"356","Tarjeta de Crédito","16.26","2024-10-19"
"357","Tarjeta de Crédito","222.62","2024-07-28"
"358","Tarjeta de Débito","80.42","2024-08-02"
"359","Tarjeta de Crédito","50.76","2024-09-22"
"360","Tarjeta de Crédito","460.32","2024-11-17"
"361","Tarjeta de Crédito","105.60","2024-09-17"
"362","Transferencia Bancaria","327.80","2024-06-26"
"363","Tarjeta de Débito","44.03","2024-08-21"
"364","Tarjeta de Crédito","406.21","2024-07-09"
"365","Transferencia Bancaria","251.39","2024-12-19"
"366","Tarjeta de Débito","188.60","2024-08-01"
"367","Transferencia Bancaria","193.81","2025-03-05"
"368","Tarjeta de Débito","194.09","2024-07-26"
"369","Tarjeta de Crédito","284.33","2024-04-04"
"370","Transferencia Bancaria","49.44","2024-10-30"
"371","Tarjeta de Crédito","464.51","2024-11-19"
"372","Tarjeta de Crédito","245.06","2024-03-26"
"373","Transferencia Bancaria","140.18","2024-11-16"
"374","Efectivo","480.65","2024-11-29"
"375","Tarjeta de Crédito","276.14","2024-10-11"
"376","Transferencia Bancaria","222.26","2024-09-08"
"377","Transferencia Bancaria","63.94","2025-03-06"
"378","Efectivo","271.72","2024-10-03"
"379","Tarjeta de Crédito","490.90","2024-05-11"
"380","Transferencia Bancaria","291.47","2024-07-16"
"381","Tarjeta de Débito","199.87","2025-01-06"
"382","Transferencia Bancaria","165.98","2024-08-03"
"383","Efectivo","174.27","2024-12-04"
"384","Efectivo","249.47","2024-05-13"
"385","Tarjeta de Débito","36.78","2024-12-29"
"386","Efectivo","415.39","2024-05-28"
"387","Transferencia Bancaria","170.68","2024-07-26"
"388","Efectivo","365.24","2024-09-14"
"389","Tarjeta de Crédito","395.77","2024-10-19"
"390","Transferencia Bancaria","195.10","2024-11-16"
"391","Transferencia Bancaria","387.14","2024-11-18"
"392","Transferencia Bancaria","390.42","2024-07-31"
"393","Efectivo","81.57","2024-10-22"
"394","Transferencia Bancaria","166.85","2024-06-02"
"395","Tarjeta de Crédito","313.59","2024-09-16"
"396","Transferencia Bancaria","242.90","2024-04-03"
"397","Efectivo","483.08","2024-11-21"
"398","Transferencia Bancaria","94.56","2025-03-06"
"399","Transferencia Bancaria","175.28","2024-12-10"
"400","Transferencia Bancaria","340.31","2024-07-25"
"401","Tarjeta de Crédito","308.53","2024-10-03"
"402","Tarjeta de Débito","335.92","2025-03-09"
"403","Transferencia Bancaria","25.21","2024-12-08"
"404","Tarjeta de Crédito","32.52","2024-04-08"
"405","Efectivo","224.79","2025-02-07"
"406","Transferencia Bancaria","371.88","2024-09-24"
"407","Tarjeta de Débito","206.73","2024-06-24"
"408","Transferencia Bancaria","356.21","2024-07-22"
"409","Transferencia Bancaria","155.19","2024-12-28"
"410","Transferencia Bancaria","252.02","2025-02-24"
"411","Tarjeta de Crédito","168.31","2024-07-31"
"412","Efectivo","107.13","2024-11-15"
"413","Tarjeta de Crédito","72.92","2024-09-21"
"414","Tarjeta de Débito","322.29","2025-01-18"
"415","Tarjeta de Crédito","79.81","2024-03-26"
"416","Tarjeta de Crédito","19.90","2024-10-25"
"417","Tarjeta de Débito","241.35","2024-09-30"
"418","Tarjeta de Crédito","25.62","2024-08-12"
"419","Efectivo","487.48","2024-06-26"
"420","Transferencia Bancaria","129.69","2024-07-10"
"421","Tarjeta de Crédito","258.08","2024-11-30"
"422","Transferencia Bancaria","146.73","2024-12-16"
"423","Tarjeta de Débito","248.48","2024-04-01"
"424","Tarjeta de Crédito","392.68","2024-06-25"
"425","Tarjeta de Crédito","495.00","2024-08-31"
"426","Tarjeta de Crédito","62.39","2025-02-04"
"427","Transferencia Bancaria","353.21","2024-06-24"
"428","Tarjeta de Crédito","436.04","2025-01-14"
"429","Transferencia Bancaria","111.21","2024-05-20"
"430","Tarjeta de Débito","231.58","2024-09-02"
"431","Tarjeta de Débito","348.60","2025-03-19"
"432","Transferencia Bancaria","496.46","2024-08-27"
"433","Tarjeta de Crédito","76.74","2024-07-29"
"434","Tarjeta de Crédito","400.62","2025-02-09"
"435","Transferencia Bancaria","419.21","2024-05-31"
"436","Transferencia Bancaria","130.85","2024-05-23"
"437","Tarjeta de Débito","292.55","2025-02-10"
"438","Transferencia Bancaria","357.58","2024-04-09"
"439","Tarjeta de Débito","188.20","2025-02-01"
"440","Tarjeta de Débito","320.44","2024-06-30"
"441","Transferencia Bancaria","384.94","2025-03-12"
"442","Transferencia Bancaria","425.32","2024-06-07"
"443","Tarjeta de Crédito","76.30","2024-07-09"
"444","Transferencia Bancaria","246.35","2024-06-25"
"445","Transferencia Bancaria","448.72","2024-05-15"
"446","Tarjeta de Débito","92.40","2024-12-23"
"447","Tarjeta de Débito","426.07","2024-04-30"
"448","Efectivo","389.12","2024-05-26"
"449","Transferencia Bancaria","183.44","2024-08-09"
"450","Transferencia Bancaria","346.28","2024-07-10"
"451","Tarjeta de Crédito","439.48","2024-10-13"
"452","Tarjeta de Crédito","464.38","2024-11-28"
"453","Transferencia Bancaria","313.38","2024-12-31"
"454","Efectivo","111.55","2024-07-23"
"455","Transferencia Bancaria","185.56","2025-01-28"
"456","Transferencia Bancaria","326.84","2024-06-27"
"457","Efectivo","365.93","2024-08-26"
"458","Transferencia Bancaria","356.19","2025-02-18"
"459","Efectivo","213.13","2024-04-24"
"460","Tarjeta de Débito","52.61","2024-11-17"
"461","Tarjeta de Crédito","62.53","2024-04-09"
"462","Tarjeta de Débito","96.67","2024-12-12"
"463","Efectivo","65.12","2024-08-18"
"464","Efectivo","298.57","2024-05-10"
"465","Efectivo","130.84","2024-06-24"
"466","Transferencia Bancaria","498.11","2024-08-08"
"467","Efectivo","192.53","2024-10-06"
"468","Tarjeta de Débito","234.45","2024-07-21"
"469","Efectivo","111.07","2025-03-17"
"470","Efectivo","275.03","2024-10-20"
"471","Transferencia Bancaria","220.64","2025-02-08"
"472","Tarjeta de Crédito","372.57","2024-04-13"
"473","Transferencia Bancaria","344.79","2024-12-02"
"474","Transferencia Bancaria","443.82","2025-02-18"
"475","Transferencia Bancaria","122.08","2024-08-01"
"476","Efectivo","69.03","2025-01-09"
"477","Transferencia Bancaria","95.35","2025-03-08"
"478","Transferencia Bancaria","445.69","2024-07-17"
"479","Tarjeta de Crédito","482.81","2024-09-26"
"480","Transferencia Bancaria","347.14","2024-11-10"
"481","Tarjeta de Crédito","335.31","2024-10-11"
"482","Transferencia Bancaria","90.86","2025-01-01"
"483","Tarjeta de Crédito","386.38","2025-03-13"
"484","Efectivo","33.11","2025-01-22"
"485","Transferencia Bancaria","351.89","2024-07-17"
"486","Transferencia Bancaria","328.72","2024-12-20"
"487","Transferencia Bancaria","471.00","2024-12-05"
"488","Tarjeta de Crédito","370.70","2025-01-03"
"489","Tarjeta de Débito","59.04","2024-12-20"
"490","Tarjeta de Débito","15.19","2024-04-07"
"491","Tarjeta de Crédito","456.27","2025-02-27"
"492","Tarjeta de Crédito","440.72","2025-01-20"
"493","Tarjeta de Crédito","79.57","2024-09-08"
"494","Tarjeta de Crédito","460.62","2024-05-03"
"495","Transferencia Bancaria","143.54","2024-08-21"
"496","Transferencia Bancaria","45.52","2024-10-30"
"497","Tarjeta de Crédito","346.26","2024-11-24"
"498","Tarjeta de Crédito","34.38","2024-05-31"
"499","Tarjeta de Débito","56.93","2024-06-11"
"500","Transferencia Bancaria","436.75","2024-10-21"
"501","Tarjeta de Débito","295.51","2025-03-23"
"502","Tarjeta de Crédito","101.10","2025-01-13"
"503","Tarjeta de Crédito","29.06","2024-09-24"
"504","Tarjeta de Débito","331.54","2024-08-26"
"505","Tarjeta de Crédito","235.75","2024-05-23"
"506","Tarjeta de Crédito","281.64","2025-03-07"
"507","Transferencia Bancaria","258.24","2025-01-26"
"508","Transferencia Bancaria","292.49","2024-04-01"
"509","Tarjeta de Crédito","309.83","2024-06-12"
"510","Efectivo","451.97","2025-02-04"
"511","Transferencia Bancaria","343.09","2024-09-23"
"512","Transferencia Bancaria","146.78","2024-05-06"
"513","Transferencia Bancaria","474.67","2025-02-22"
"514","Transferencia Bancaria","331.52","2024-09-11"
"515","Tarjeta de Débito","190.28","2024-10-29"
"516","Tarjeta de Crédito","323.49","2024-08-03"
"517","Transferencia Bancaria","236.90","2024-04-28"
"518","Transferencia Bancaria","235.27","2024-08-26"
"519","Tarjeta de Débito","111.42","2024-10-28"
"520","Transferencia Bancaria","326.91","2025-02-17"
"521","Transferencia Bancaria","216.51","2025-03-02"
"522","Tarjeta de Crédito","155.34","2025-02-23"
"523","Transferencia Bancaria","136.91","2024-07-20"
"524","Transferencia Bancaria","448.80","2025-03-03"
"525","Tarjeta de Débito","404.22","2024-09-23"
"526","Transferencia Bancaria","222.70","2024-11-22"
"527","Tarjeta de Crédito","32.38","2024-06-30"
"528","Tarjeta de Crédito","342.20","2024-05-18"
"529","Transferencia Bancaria","471.08","2024-04-04"
"530","Tarjeta de Crédito","407.62","2024-08-10"
"531","Tarjeta de Crédito","487.74","2024-05-08"
"532","Transferencia Bancaria","173.08","2024-05-20"
"533","Transferencia Bancaria","218.75","2024-08-06"
"534","Tarjeta de Crédito","61.39","2024-12-24"
"535","Transferencia Bancaria","299.31","2024-04-07"
"536","Tarjeta de Crédito","261.05","2025-03-10"
"537","Transferencia Bancaria","78.14","2025-01-24"
"538","Tarjeta de Crédito","332.71","2024-11-06"
"539","Tarjeta de Crédito","82.38","2025-03-07"
"540","Tarjeta de Débito","263.19","2024-10-08"
"541","Transferencia Bancaria","138.63","2024-12-17"
"542","Transferencia Bancaria","175.22","2024-09-03"
"543","Transferencia Bancaria","421.18","2024-12-28"
"544","Transferencia Bancaria","403.50","2025-01-21"
"545","Transferencia Bancaria","57.13","2024-06-20"
"546","Transferencia Bancaria","312.45","2024-05-27"
