"id_producto","nombre","id_categoria","marca","precio","stock","id_proveedor","fechaIngreso","tamano","SKU"
"32","Casaca Hombre Pluma","3","Basement","183.17","44","831","2024-04-18","unidad","2bf404be"
"33","Laptop Lenovo IdeaPad 3","1","Lenovo","1697.26","52","683","2024-06-06","unidad","6f337c21"
"34","Casaca Hombre Pluma","3","Basement","214.48","12","174","2024-11-23","unidad","55238055"
"35","Perfume Adidas Mujer","8","Adidas","74.18","87","259","2024-06-15","unidad","d31efc3e"
"36","Refrigeradora Samsung 300L","5","Samsung","1653.86","54","861","2024-06-04","unidad","5e9716aa"
"37","Filtro de aire Toyota","10","Toyota","86.85","3","432","2025-04-13","unidad","2b6b6302"
"38","Carro Hot Wheels","9","Mattel","22.82","33","148","2024-09-20","unidad","351d99e1"
"39","Silla ergonómica Home Collection","5","Home Collection","196.31","38","340","2024-10-22","unidad","05ca0b5b"
"40","Crema Corporal Nivea 400ml","8","Nivea","20.22","56","909","2024-06-06","mililitro","f22b38a1"
"41","Pelota de fútbol Adidas","4","Adidas","81.07","2","421","2025-02-01","unidad","38a3af7d"
"42","Tablet Samsung Galaxy Tab A8","6","Samsung","801.51","66","162","2025-03-05","unidad","dc13b777"
"43","Perfume Adidas Mujer","8","Adidas","77.83","74","771","2025-01-07","unidad","9d274b80"
"44","Bicicleta Montaña Aro 29","4","Aro","946.29","12","468","2024-07-11","unidad","7d2bf033"
"45","Muñeca Barbie Fashionista","9","Mattel","66.59","63","19","2024-06-27","unidad","aef074c9"
"46","Muñeca Barbie Fashionista","9","Mattel","65.24","15","762","2024-09-17","unidad","43b1141a"
"47","Refrigeradora Samsung 300L","5","Samsung","2228.08","43","502","2024-05-01","unidad","8bf905b8"
"48","Jean Mujer Skinny","3","Do Jeans","79.22","24","965","2024-05-26","unidad","972d454d"
"49","Casaca Hombre Pluma","3","Basement","209.85","65","766","2024-12-10","unidad","8e8b76a8"
"50","Shampoo Sedal 650ml","8","Sedal","17.77","69","275","2024-06-12","mililitro","7b3b2eef"
"51","Silla ergonómica Home Collection","5","Home Collection","223.12","100","307","2024-06-03","unidad","3dca4753"
"52","Celular Samsung Galaxy A14","1","Samsung","836.64","1","580","2024-07-19","unidad","e5613b87"
"53","Crema Corporal Nivea 400ml","8","Nivea","24.16","84","882","2024-12-18","mililitro","e1dc312d"
"54","Televisor LG 55'' UHD","1","LG","1944.66","56","58","2024-05-13","unidad","f34929b5"
"55","Laptop Lenovo IdeaPad 3","1","Lenovo","1724.87","19","150","2024-11-19","unidad","f3de7fbd"
"56","Cocina Mabe 4 hornillas","5","Mabe","1110.92","44","933","2024-10-27","unidad","4b7b0c11"
"57","Alcohol 70% 1L","7","Zegel","11.12","68","877","2025-04-09","litro","9065efe2"
"58","Refrigeradora Samsung 300L","5","Samsung","1604.13","3","250","2025-02-08","unidad","609635b4"
"59","Set de bloques Lego Classic","9","Lego","143.79","19","825","2025-02-28","unidad","825e0881"
"60","Pelota de fútbol Adidas","4","Adidas","81.43","78","586","2024-12-23","unidad","92628d67"
"61","Televisor LG 55'' UHD","1","LG","1912.68","44","742","2024-11-03","unidad","a83eeae6"
"62","Paracetamol 500mg x10","7","Genfar","3.37","83","666","2025-02-07","blister","4d80c876"
"63","Guantes de Box Everlast","4","Everlast","50.75","81","348","2024-12-15","par","f6709aff"
"64","Paracetamol 500mg x10","7","Genfar","3.56","60","422","2024-10-24","blister","db790208"
"65","Aceite Primor 1L","2","Primor","7.45","46","547","2024-10-23","litro","d6d871f3"
"66","Aceite Primor 1L","2","Primor","8.91","13","971","2024-12-11","litro","caf9bd51"
"67","Zapatillas Urbanas Hombre","3","Skechers","281.60","20","636","2025-01-28","par","f79e9a21"
"68","Aceite de Motor Mobil 4L","10","Mobil","103.69","2","262","2024-06-01","litro","104a9733"
"69","Set de bloques Lego Classic","9","Lego","193.21","73","996","2025-04-11","unidad","57296a80"
"70","Cocina Mabe 4 hornillas","5","Mabe","913.45","10","440","2024-07-16","unidad","5f3b24c4"
"71","Impresora Multifuncional HP","6","HP","409.67","98","464","2025-02-03","unidad","554331a7"
"72","Muñeca Barbie Fashionista","9","Mattel","72.15","23","596","2025-04-09","unidad","c32cef96"
"73","Pelota de fútbol Adidas","4","Adidas","62.91","47","651","2024-10-10","unidad","0d2c7026"
"74","Filtro de aire Toyota","10","Toyota","78.82","62","459","2024-06-07","unidad","345b8680"
"75","Zapatillas Urbanas Hombre","3","Skechers","294.19","36","24","2024-05-22","par","ef53acbd"
"76","Alcohol 70% 1L","7","Zegel","12.45","64","165","2024-12-23","litro","c601e1c1"
"77","Zapatillas Urbanas Hombre","3","Skechers","231.33","8","56","2024-08-05","par","797d0a0b"
"78","Leche Gloria UHT 1L","2","Gloria","4.52","23","394","2025-01-05","litro","9e68cf31"
"79","Zapatillas Urbanas Hombre","3","Skechers","245.42","11","355","2025-03-03","par","ec05ff15"
"80","Televisor LG 55'' UHD","1","LG","1910.41","42","253","2024-11-06","unidad","d14d545b"
"81","Paracetamol 500mg x10","7","Genfar","2.71","37","374","2024-11-14","blister","4941d1cd"
"82","Celular Samsung Galaxy A14","1","Samsung","801.74","89","36","2024-05-14","unidad","e7e2bbe8"
"83","Refrigeradora Samsung 300L","5","Samsung","2190.17","4","646","2024-12-21","unidad","cc132b6d"
"84","Leche Gloria UHT 1L","2","Gloria","5.54","91","953","2024-10-11","litro","1e2e7124"
"85","Aceite Primor 1L","2","Primor","7.84","45","194","2024-06-30","litro","0c37ec24"
"86","Limpia parabrisas 500ml","10","3M","16.80","13","260","2024-12-16","mililitro","1cddf0ae"
"87","Filtro de aire Toyota","10","Toyota","75.54","70","592","2024-10-01","unidad","156829df"
"88","Tablet Samsung Galaxy Tab A8","6","Samsung","874.04","71","566","2025-02-13","unidad","f396c217"
"89","Laptop Lenovo IdeaPad 3","1","Lenovo","2064.09","85","87","2024-09-12","unidad","9ca07bee"
"90","Carro Hot Wheels","9","Mattel","24.25","40","693","2024-10-18","unidad","5e177603"
"91","Limpia parabrisas 500ml","10","3M","10.16","89","681","2024-06-21","mililitro","76a31d48"
"92","Perfume Adidas Mujer","8","Adidas","70.02","55","200","2024-08-20","unidad","c56c4795"
"93","Celular Samsung Galaxy A14","1","Samsung","769.06","3","963","2024-10-21","unidad","5ed4d3e5"
"94","Aceite Primor 1L","2","Primor","8.36","46","450","2025-03-04","litro","644d4678"
"95","Guantes de Box Everlast","4","Everlast","55.16","21","459","2025-04-01","par","5700505d"
"96","Cocina Mabe 4 hornillas","5","Mabe","918.19","50","742","2024-10-23","unidad","74829528"
"97","Pelota de fútbol Adidas","4","Adidas","98.59","79","72","2024-06-17","unidad","8c751921"
"98","Limpia parabrisas 500ml","10","3M","17.67","56","664","2024-07-01","mililitro","8c544af2"
"99","Arroz Costeño 5kg","2","Costeño","25.89","16","752","2024-05-08","kg","2cbd24da"
"100","Perfume Adidas Mujer","8","Adidas","66.04","84","862","2024-06-26","unidad","392d3f5c"
"101","Celular Samsung Galaxy A14","1","Samsung","821.00","6","923","2024-06-22","unidad","5a5d7c14"
"102","Set de bloques Lego Classic","9","Lego","99.99","67","79","2024-05-26","unidad","ffab1c3c"
"103","Jean Mujer Skinny","3","Do Jeans","107.93","5","302","2025-03-01","unidad","20238334"
"104","Celular Samsung Galaxy A14","1","Samsung","810.19","45","169","2024-04-15","unidad","a99a4351"
"105","Limpia parabrisas 500ml","10","3M","14.73","7","463","2024-08-18","mililitro","56190141"
"106","Arroz Costeño 5kg","2","Costeño","29.63","43","885","2024-07-25","kg","a0fc3134"
"107","Leche Gloria UHT 1L","2","Gloria","5.56","71","897","2025-02-19","litro","2636c0d8"
"108","Aceite de Motor Mobil 4L","10","Mobil","111.08","39","148","2024-05-27","litro","4b35d29f"
"109","Cocina Mabe 4 hornillas","5","Mabe","1157.26","97","553","2025-02-03","unidad","b9af5b66"
"110","Leche Gloria UHT 1L","2","Gloria","5.16","98","263","2024-08-22","litro","90ad62cf"
"111","Vitamina C 1000mg x20","7","La Santé","13.60","53","841","2024-07-26","blister","9b316903"
"112","Silla ergonómica Home Collection","5","Home Collection","246.45","54","501","2025-01-05","unidad","f80ab27a"
"113","Carro Hot Wheels","9","Mattel","18.18","55","784","2024-09-27","unidad","0f0d10ec"
"114","Bicicleta Montaña Aro 29","4","Aro","1189.50","98","496","2024-09-24","unidad","40b835db"
"115","Aceite de Motor Mobil 4L","10","Mobil","108.87","78","806","2025-03-22","litro","1fd42727"
"116","Laptop Lenovo IdeaPad 3","1","Lenovo","1744.20","34","516","2024-11-06","unidad","3e47950d"
"117","Alcohol 70% 1L","7","Zegel","11.41","28","540","2024-06-29","litro","a20c51d4"
"118","Laptop Lenovo IdeaPad 3","1","Lenovo","1785.96","72","322","2024-04-21","unidad","e2ff32e2"
"119","Alcohol 70% 1L","7","Zegel","8.60","45","454","2025-03-21","litro","8c6d6678"
"120","Arroz Costeño 5kg","2","Costeño","27.41","77","558","2024-10-09","kg","fab42110"
"121","Aceite de Motor Mobil 4L","10","Mobil","111.71","39","674","2024-10-31","litro","90bdb69a"
"122","Paracetamol 500mg x10","7","Genfar","4.23","42","825","2024-10-03","blister","63bf6eb3"
"123","Guantes de Box Everlast","4","Everlast","74.64","65","421","2024-05-06","par","90e2a6b0"
"124","Alcohol 70% 1L","7","Zegel","11.17","8","460","2024-05-03","litro","7ac9b735"
"125","Jean Mujer Skinny","3","Do Jeans","116.46","8","252","2024-10-05","unidad","b228f8ad"
"126","Pelota de fútbol Adidas","4","Adidas","95.80","29","232","2024-11-12","unidad","9e26576e"
"127","Celular Samsung Galaxy A14","1","Samsung","841.32","18","867","2025-02-24","unidad","c825aecb"
"128","Celular Samsung Galaxy A14","1","Samsung","781.18","83","823","2024-04-20","unidad","07369579"
"129","Silla ergonómica Home Collection","5","Home Collection","248.60","10","857","2025-01-12","unidad","6ac88b97"
"130","Alcohol 70% 1L","7","Zegel","8.73","66","972","2024-09-08","litro","9f1ac177"
"131","Vitamina C 1000mg x20","7","La Santé","14.62","63","271","2025-02-24","blister","9f4fb695"
"132","Alcohol 70% 1L","7","Zegel","11.48","10","397","2025-01-10","litro","b59a8412"
"133","Pelota de fútbol Adidas","4","Adidas","67.15","18","239","2024-04-29","unidad","b04fcd17"
"134","Vitamina C 1000mg x20","7","La Santé","17.02","96","543","2024-07-23","blister","46fd1a45"
"135","Vitamina C 1000mg x20","7","La Santé","12.31","61","77","2024-10-09","blister","2d53263d"
"136","Perfume Adidas Mujer","8","Adidas","62.88","35","830","2024-10-02","unidad","fedfe454"
"137","Leche Gloria UHT 1L","2","Gloria","5.84","77","309","2024-06-06","litro","01ea96ac"
"138","Crema Corporal Nivea 400ml","8","Nivea","20.56","99","859","2024-06-06","mililitro","3e066ee6"
"139","Limpia parabrisas 500ml","10","3M","10.43","50","138","2025-01-03","mililitro","cf6e4043"
"140","Arroz Costeño 5kg","2","Costeño","29.57","93","814","2024-07-22","kg","f27b535c"
"141","Zapatillas Urbanas Hombre","3","Skechers","232.70","83","731","2024-12-14","par","7ef3cb91"
"142","Guantes de Box Everlast","4","Everlast","81.82","17","127","2024-04-17","par","117519e0"
"143","Zapatillas Urbanas Hombre","3","Skechers","244.11","81","791","2024-04-21","par","3e30b4bb"
"144","Perfume Adidas Mujer","8","Adidas","65.08","68","802","2024-05-26","unidad","d0e3ca01"
"145","Limpia parabrisas 500ml","10","3M","13.26","20","800","2024-08-28","mililitro","307e7698"
"146","Tablet Samsung Galaxy Tab A8","6","Samsung","900.13","18","409","2025-01-04","unidad","88f9af76"
"147","Shampoo Sedal 650ml","8","Sedal","13.73","65","116","2024-10-11","mililitro","c79bd48a"
"148","Audífonos JBL inalámbricos","6","JBL","203.16","35","460","2024-06-17","unidad","7fbd1aeb"
"149","Crema Corporal Nivea 400ml","8","Nivea","18.79","30","366","2024-08-05","mililitro","b85c38d9"
"150","Bicicleta Montaña Aro 29","4","Aro","1093.51","72","504","2024-04-21","unidad","1cd0050f"
"151","Audífonos JBL inalámbricos","6","JBL","192.76","84","583","2024-12-16","unidad","d4eec252"
"152","Muñeca Barbie Fashionista","9","Mattel","85.29","31","199","2024-06-13","unidad","f8f24117"
"153","Alcohol 70% 1L","7","Zegel","8.03","77","609","2024-12-28","litro","a03a2203"
"154","Bicicleta Montaña Aro 29","4","Aro","703.80","27","828","2024-07-23","unidad","723293cc"
"155","Guantes de Box Everlast","4","Everlast","77.38","91","611","2024-10-27","par","0ab245e8"
"156","Vitamina C 1000mg x20","7","La Santé","14.65","60","109","2024-07-08","blister","97153031"
"157","Televisor LG 55'' UHD","1","LG","2042.08","56","264","2024-09-18","unidad","cee8aadf"
"158","Aceite Primor 1L","2","Primor","9.99","17","289","2025-04-14","litro","9a205527"
"159","Filtro de aire Toyota","10","Toyota","56.50","92","811","2024-04-30","unidad","0b1a6910"
"160","Paracetamol 500mg x10","7","Genfar","4.46","24","964","2024-07-30","blister","6b01219e"
"161","Vitamina C 1000mg x20","7","La Santé","15.24","23","758","2025-02-17","blister","ab73ff48"
"162","Impresora Multifuncional HP","6","HP","315.72","12","969","2024-11-01","unidad","c0c976e8"
"163","Televisor LG 55'' UHD","1","LG","1946.41","6","959","2024-11-04","unidad","332f49de"
"164","Audífonos JBL inalámbricos","6","JBL","222.45","17","447","2024-12-16","unidad","0be22bb8"
"165","Limpia parabrisas 500ml","10","3M","19.48","92","319","2024-05-14","mililitro","a514953d"
"166","Silla ergonómica Home Collection","5","Home Collection","199.28","96","245","2024-10-22","unidad","47b216cb"
"167","Audífonos JBL inalámbricos","6","JBL","193.97","97","507","2025-01-22","unidad","69b69ebd"
"168","Silla ergonómica Home Collection","5","Home Collection","219.37","32","718","2025-03-17","unidad","871e41d8"
"169","Aceite de Motor Mobil 4L","10","Mobil","125.72","67","854","2024-06-29","litro","57ac50ea"
"170","Jean Mujer Skinny","3","Do Jeans","87.93","100","916","2024-06-02","unidad","7ca2646b"
"171","Paracetamol 500mg x10","7","Genfar","4.74","99","560","2024-07-08","blister","800f7549"
"172","Alcohol 70% 1L","7","Zegel","13.20","10","239","2024-05-18","litro","21aea843"
"173","Paracetamol 500mg x10","7","Genfar","2.78","81","14","2024-09-30","blister","8e7321a7"
"174","Alcohol 70% 1L","7","Zegel","8.92","47","600","2024-08-18","litro","cc92d048"
"175","Jean Mujer Skinny","3","Do Jeans","93.57","49","857","2025-01-09","unidad","2c7d18ef"
"176","Impresora Multifuncional HP","6","HP","304.34","87","873","2024-11-27","unidad","afe38e7d"
"177","Bicicleta Montaña Aro 29","4","Aro","1008.46","45","765","2024-10-23","unidad","3091eb2f"
"178","Leche Gloria UHT 1L","2","Gloria","5.34","78","382","2024-09-14","litro","0f720100"
"179","Paracetamol 500mg x10","7","Genfar","2.57","10","104","2024-08-05","blister","842be77c"
"180","Guantes de Box Everlast","4","Everlast","59.87","6","426","2025-03-27","par","5f729000"
"181","Set de bloques Lego Classic","9","Lego","124.88","84","716","2024-12-14","unidad","c5c5906b"
"182","Set de bloques Lego Classic","9","Lego","132.30","43","691","2024-07-01","unidad","bc7f9f14"
"183","Set de bloques Lego Classic","9","Lego","143.43","25","498","2025-02-13","unidad","d152e36c"
"184","Zapatillas Urbanas Hombre","3","Skechers","231.01","46","474","2024-07-29","par","6202d166"
"185","Celular Samsung Galaxy A14","1","Samsung","755.34","77","612","2024-05-29","unidad","b52667eb"
"186","Aceite Primor 1L","2","Primor","8.05","89","788","2025-04-05","litro","70477684"
"187","Set de bloques Lego Classic","9","Lego","164.06","63","337","2024-05-07","unidad","35782ef4"
"188","Set de bloques Lego Classic","9","Lego","117.02","21","958","2024-05-30","unidad","7567ce80"
"189","Filtro de aire Toyota","10","Toyota","70.60","59","15","2024-11-28","unidad","f483f129"
"190","Alcohol 70% 1L","7","Zegel","13.58","24","767","2024-11-18","litro","885521c4"
"191","Arroz Costeño 5kg","2","Costeño","26.04","10","320","2025-04-14","kg","4e4801e6"
"192","Audífonos JBL inalámbricos","6","JBL","193.90","41","261","2024-10-13","unidad","450197a0"
"193","Paracetamol 500mg x10","7","Genfar","4.87","65","405","2024-04-25","blister","16684110"
"194","Casaca Hombre Pluma","3","Basement","199.54","23","123","2024-08-23","unidad","d3949ab4"
"195","Muñeca Barbie Fashionista","9","Mattel","72.23","1","519","2024-07-28","unidad","011122a5"
"196","Pelota de fútbol Adidas","4","Adidas","77.24","13","461","2024-04-29","unidad","42e6765b"
"197","Perfume Adidas Mujer","8","Adidas","76.81","98","850","2024-05-07","unidad","e3ed7fb6"
"198","Refrigeradora Samsung 300L","5","Samsung","1920.45","88","612","2024-12-29","unidad","ee857caf"
"199","Muñeca Barbie Fashionista","9","Mattel","88.07","93","609","2024-08-19","unidad","6e27822c"
"200","Alcohol 70% 1L","7","Zegel","13.23","45","124","2024-12-02","litro","a0e43194"
"201","Aceite Primor 1L","2","Primor","9.54","41","566","2025-04-09","litro","1e760c08"
"202","Audífonos JBL inalámbricos","6","JBL","190.21","5","116","2024-07-13","unidad","ba1cf0cb"
"203","Carro Hot Wheels","9","Mattel","18.07","36","340","2024-11-03","unidad","de12ec08"
"204","Carro Hot Wheels","9","Mattel","23.83","77","507","2024-05-18","unidad","25b8bd95"
"205","Zapatillas Urbanas Hombre","3","Skechers","209.73","13","242","2024-07-28","par","b0bc84dd"
"206","Crema Corporal Nivea 400ml","8","Nivea","24.44","82","52","2024-09-10","mililitro","178a686d"
"207","Aceite de Motor Mobil 4L","10","Mobil","93.42","51","336","2025-02-06","litro","269bc4eb"
"208","Casaca Hombre Pluma","3","Basement","201.99","80","562","2024-12-11","unidad","082d7cd1"
"209","Leche Gloria UHT 1L","2","Gloria","5.81","41","775","2024-06-24","litro","1bc2b10c"
"210","Paracetamol 500mg x10","7","Genfar","3.69","4","723","2025-01-24","blister","089eba46"
"211","Filtro de aire Toyota","10","Toyota","75.68","63","990","2024-08-27","unidad","2799646b"
"212","Limpia parabrisas 500ml","10","3M","17.98","76","150","2024-12-09","mililitro","df9783b5"
"213","Zapatillas Urbanas Hombre","3","Skechers","235.33","45","79","2024-12-22","par","5ab1af84"
"214","Audífonos JBL inalámbricos","6","JBL","223.47","26","700","2024-12-15","unidad","e4b9d95a"
"215","Arroz Costeño 5kg","2","Costeño","25.54","70","624","2024-11-25","kg","c13d3455"
"216","Silla ergonómica Home Collection","5","Home Collection","228.49","72","651","2024-07-18","unidad","baf2e19e"
"217","Audífonos JBL inalámbricos","6","JBL","208.99","60","604","2024-05-12","unidad","14c5d46d"
"218","Laptop Lenovo IdeaPad 3","1","Lenovo","1594.71","40","805","2024-10-28","unidad","a031947f"
"219","Jean Mujer Skinny","3","Do Jeans","106.31","83","953","2024-10-14","unidad","239daeba"
"220","Laptop Lenovo IdeaPad 3","1","Lenovo","1830.65","58","207","2024-11-09","unidad","1950bc71"
"221","Carro Hot Wheels","9","Mattel","19.60","47","75","2024-05-09","unidad","6c98bb13"
"222","Shampoo Sedal 650ml","8","Sedal","15.58","55","101","2024-11-07","mililitro","ec4350a5"
"223","Casaca Hombre Pluma","3","Basement","173.86","61","363","2025-02-02","unidad","014f954d"
"224","Televisor LG 55'' UHD","1","LG","2109.85","83","959","2024-04-26","unidad","9556260c"
"225","Zapatillas Urbanas Hombre","3","Skechers","256.39","23","189","2024-08-23","par","037c71ef"
"226","Refrigeradora Samsung 300L","5","Samsung","2156.79","48","374","2024-06-09","unidad","4394bd36"
"227","Laptop Lenovo IdeaPad 3","1","Lenovo","2022.96","5","601","2024-09-29","unidad","070ac1d5"
"228","Laptop Lenovo IdeaPad 3","1","Lenovo","1736.81","64","387","2024-05-15","unidad","11bb3668"
"229","Jean Mujer Skinny","3","Do Jeans","84.71","35","869","2025-03-21","unidad","24e37099"
"230","Perfume Adidas Mujer","8","Adidas","63.20","94","684","2024-12-12","unidad","b8d40ff9"
"231","Filtro de aire Toyota","10","Toyota","81.99","48","347","2025-04-06","unidad","fdc3d28a"
"232","Audífonos JBL inalámbricos","6","JBL","245.92","33","593","2024-08-30","unidad","832e7d0d"
"233","Jean Mujer Skinny","3","Do Jeans","116.21","9","950","2025-04-15","unidad","0d5bb921"
"234","Muñeca Barbie Fashionista","9","Mattel","73.53","37","619","2025-03-01","unidad","40722ed9"
"235","Perfume Adidas Mujer","8","Adidas","54.85","14","463","2025-02-19","unidad","7c83f2de"
"236","Set de bloques Lego Classic","9","Lego","111.44","75","967","2025-01-04","unidad","aee76d90"
"237","Alcohol 70% 1L","7","Zegel","13.16","18","700","2025-02-09","litro","cc4b9913"
"238","Celular Samsung Galaxy A14","1","Samsung","832.66","66","591","2024-07-14","unidad","ab0e1314"
"239","Filtro de aire Toyota","10","Toyota","78.35","43","382","2025-01-17","unidad","c8e3185b"
"240","Arroz Costeño 5kg","2","Costeño","27.79","30","991","2025-02-02","kg","4bca3edc"
"241","Audífonos JBL inalámbricos","6","JBL","198.13","88","255","2025-03-28","unidad","e195419d"
"242","Silla ergonómica Home Collection","5","Home Collection","212.68","93","629","2024-07-04","unidad","21e943ee"
"243","Carro Hot Wheels","9","Mattel","19.13","39","488","2024-06-17","unidad","abe9164e"
"244","Carro Hot Wheels","9","Mattel","17.99","56","317","2024-06-11","unidad","64268155"
"245","Set de bloques Lego Classic","9","Lego","100.22","32","300","2025-01-08","unidad","5ae9223a"
"246","Muñeca Barbie Fashionista","9","Mattel","69.24","63","624","2024-11-29","unidad","eeca8a1b"
"247","Guantes de Box Everlast","4","Everlast","72.20","12","35","2025-01-08","par","444af8ff"
"248","Set de bloques Lego Classic","9","Lego","127.67","30","729","2024-11-24","unidad","3b9283a3"
"249","Perfume Adidas Mujer","8","Adidas","64.13","35","568","2024-05-31","unidad","ee6fd25f"
"250","Arroz Costeño 5kg","2","Costeño","29.49","69","734","2025-02-09","kg","2f47f345"
"251","Aceite Primor 1L","2","Primor","8.14","3","67","2024-07-22","litro","849af948"
"252","Celular Samsung Galaxy A14","1","Samsung","884.03","43","876","2025-02-14","unidad","e5979cb5"
"253","Silla ergonómica Home Collection","5","Home Collection","202.81","64","984","2024-05-02","unidad","5759f598"
"254","Pelota de fútbol Adidas","4","Adidas","62.53","75","833","2024-06-20","unidad","0b08863e"
"255","Shampoo Sedal 650ml","8","Sedal","15.03","1","698","2024-06-23","mililitro","51bbdac6"
"256","Aceite Primor 1L","2","Primor","9.54","33","444","2024-12-22","litro","9e754f45"
"257","Impresora Multifuncional HP","6","HP","353.47","25","56","2024-08-16","unidad","9ec3e4df"
"258","Crema Corporal Nivea 400ml","8","Nivea","23.53","63","438","2024-07-28","mililitro","2713385b"
"259","Laptop Lenovo IdeaPad 3","1","Lenovo","2034.83","74","953","2024-11-05","unidad","f7544581"
"260","Bicicleta Montaña Aro 29","4","Aro","891.72","63","351","2025-01-06","unidad","1f344ca9"
"261","Pelota de fútbol Adidas","4","Adidas","61.16","23","199","2024-12-10","unidad","96d1e9e3"
"262","Pelota de fútbol Adidas","4","Adidas","97.63","79","854","2024-05-01","unidad","8d547326"
"263","Perfume Adidas Mujer","8","Adidas","62.21","48","425","2025-02-09","unidad","b337e814"
"264","Muñeca Barbie Fashionista","9","Mattel","67.85","62","641","2025-02-17","unidad","a2a33fc8"
"265","Shampoo Sedal 650ml","8","Sedal","15.17","83","785","2024-11-29","mililitro","2c7e68bf"
"266","Arroz Costeño 5kg","2","Costeño","28.00","97","245","2025-03-14","kg","eb42be4f"
"267","Celular Samsung Galaxy A14","1","Samsung","859.26","64","197","2024-10-11","unidad","75efeff8"
"268","Shampoo Sedal 650ml","8","Sedal","16.48","76","378","2024-09-09","mililitro","7c4c9780"
"269","Aceite Primor 1L","2","Primor","8.66","46","397","2024-09-17","litro","ebe7678f"
"270","Refrigeradora Samsung 300L","5","Samsung","1487.78","86","678","2024-10-31","unidad","e6f56ab4"
"271","Celular Samsung Galaxy A14","1","Samsung","898.21","25","812","2024-12-25","unidad","f430ff5e"
"272","Cocina Mabe 4 hornillas","5","Mabe","1092.95","53","251","2024-08-03","unidad","b1643e2e"
"273","Cocina Mabe 4 hornillas","5","Mabe","1089.59","66","350","2024-09-28","unidad","ad9c4478"
"274","Zapatillas Urbanas Hombre","3","Skechers","273.39","47","289","2025-01-17","par","5d8f5587"
"275","Celular Samsung Galaxy A14","1","Samsung","892.64","30","450","2024-12-25","unidad","76f4d766"
"276","Cocina Mabe 4 hornillas","5","Mabe","1064.79","52","437","2024-12-16","unidad","83eeaa92"
"277","Leche Gloria UHT 1L","2","Gloria","5.81","97","890","2024-07-31","litro","c977abc6"
